用户ID,cluster_name
U00000108,高价值_抗衰+修护_高活跃高频高消费
U00000134,高价值_抗衰+修护_高活跃高频高消费
U00000163,高价值_抗衰+修护_高活跃高频高消费
U00000354,高价值_抗衰+修护_高活跃高频高消费
U00000378,高价值_抗衰+修护_高活跃高频高消费
U00000382,高价值_抗衰+修护_高活跃高频高消费
U00000412,高价值_抗衰+修护_高活跃高频高消费
U00000508,高价值_抗衰+修护_高活跃高频高消费
U00000536,高价值_抗衰+修护_高活跃高频高消费
U00000552,高价值_抗衰+修护_高活跃高频高消费
U00000623,高价值_抗衰+修护_高活跃高频高消费
U00000681,高价值_抗衰+修护_高活跃高频高消费
U00000819,高价值_抗衰+修护_高活跃高频高消费
U00000822,高价值_抗衰+修护_高活跃高频高消费
U00000851,高价值_抗衰+修护_高活跃高频高消费
U00000950,高价值_抗衰+修护_高活跃高频高消费
U00000987,高价值_抗衰+修护_高活跃高频高消费
U00001046,高价值_抗衰+修护_高活跃高频高消费
U00001069,高价值_抗衰+修护_高活跃高频高消费
U00001112,高价值_抗衰+修护_高活跃高频高消费
U00001172,高价值_抗衰+修护_高活跃高频高消费
U00001259,高价值_抗衰+修护_高活跃高频高消费
U00001277,高价值_抗衰+修护_高活跃高频高消费
U00001359,高价值_抗衰+修护_高活跃高频高消费
U00001399,高价值_抗衰+修护_高活跃高频高消费
U00001462,高价值_抗衰+修护_高活跃高频高消费
U00001490,高价值_抗衰+修护_高活跃高频高消费
U00001503,高价值_抗衰+修护_高活跃高频高消费
U00001535,高价值_抗衰+修护_高活跃高频高消费
U00001574,高价值_抗衰+修护_高活跃高频高消费
U00001580,高价值_抗衰+修护_高活跃高频高消费
U00001621,高价值_抗衰+修护_高活跃高频高消费
U00001658,高价值_抗衰+修护_高活跃高频高消费
U00001685,高价值_抗衰+修护_高活跃高频高消费
U00001753,高价值_抗衰+修护_高活跃高频高消费
U00001877,高价值_抗衰+修护_高活跃高频高消费
U00001884,高价值_抗衰+修护_高活跃高频高消费
U00001973,高价值_抗衰+修护_高活跃高频高消费
U00002081,高价值_抗衰+修护_高活跃高频高消费
U00002116,高价值_抗衰+修护_高活跃高频高消费
U00002155,高价值_抗衰+修护_高活跃高频高消费
U00002168,高价值_抗衰+修护_高活跃高频高消费
U00002174,高价值_抗衰+修护_高活跃高频高消费
U00002185,高价值_抗衰+修护_高活跃高频高消费
U00002259,高价值_抗衰+修护_高活跃高频高消费
U00002286,高价值_抗衰+修护_高活跃高频高消费
U00002374,高价值_抗衰+修护_高活跃高频高消费
U00002423,高价值_抗衰+修护_高活跃高频高消费
U00002438,高价值_抗衰+修护_高活跃高频高消费
U00002439,高价值_抗衰+修护_高活跃高频高消费
U00002474,高价值_抗衰+修护_高活跃高频高消费
U00002532,高价值_抗衰+修护_高活跃高频高消费
U00002543,高价值_抗衰+修护_高活跃高频高消费
U00002545,高价值_抗衰+修护_高活跃高频高消费
U00002564,高价值_抗衰+修护_高活跃高频高消费
U00002586,高价值_抗衰+修护_高活跃高频高消费
U00002634,高价值_抗衰+修护_高活跃高频高消费
U00002797,高价值_抗衰+修护_高活跃高频高消费
U00002849,高价值_抗衰+修护_高活跃高频高消费
U00002863,高价值_抗衰+修护_高活跃高频高消费
U00002946,高价值_抗衰+修护_高活跃高频高消费
U00003010,高价值_抗衰+修护_高活跃高频高消费
U00003011,高价值_抗衰+修护_高活跃高频高消费
U00003014,高价值_抗衰+修护_高活跃高频高消费
U00003057,高价值_抗衰+修护_高活跃高频高消费
U00003058,高价值_抗衰+修护_高活跃高频高消费
U00003189,高价值_抗衰+修护_高活跃高频高消费
U00003234,高价值_抗衰+修护_高活跃高频高消费
U00003252,高价值_抗衰+修护_高活跃高频高消费
U00003316,高价值_抗衰+修护_高活跃高频高消费
U00003407,高价值_抗衰+修护_高活跃高频高消费
U00003429,高价值_抗衰+修护_高活跃高频高消费
U00003538,高价值_抗衰+修护_高活跃高频高消费
U00003542,高价值_抗衰+修护_高活跃高频高消费
U00003546,高价值_抗衰+修护_高活跃高频高消费
U00003547,高价值_抗衰+修护_高活跃高频高消费
U00003636,高价值_抗衰+修护_高活跃高频高消费
U00003661,高价值_抗衰+修护_高活跃高频高消费
U00003925,高价值_抗衰+修护_高活跃高频高消费
U00003939,高价值_抗衰+修护_高活跃高频高消费
U00003955,高价值_抗衰+修护_高活跃高频高消费
U00003962,高价值_抗衰+修护_高活跃高频高消费
U00003987,高价值_抗衰+修护_高活跃高频高消费
U00004077,高价值_抗衰+修护_高活跃高频高消费
U00004078,高价值_抗衰+修护_高活跃高频高消费
U00004150,高价值_抗衰+修护_高活跃高频高消费
U00004159,高价值_抗衰+修护_高活跃高频高消费
U00004169,高价值_抗衰+修护_高活跃高频高消费
U00004199,高价值_抗衰+修护_高活跃高频高消费
U00004318,高价值_抗衰+修护_高活跃高频高消费
U00004328,高价值_抗衰+修护_高活跃高频高消费
U00004399,高价值_抗衰+修护_高活跃高频高消费
U00004403,高价值_抗衰+修护_高活跃高频高消费
U00004562,高价值_抗衰+修护_高活跃高频高消费
U00004594,高价值_抗衰+修护_高活跃高频高消费
U00004655,高价值_抗衰+修护_高活跃高频高消费
U00004806,高价值_抗衰+修护_高活跃高频高消费
U00004838,高价值_抗衰+修护_高活跃高频高消费
U00004847,高价值_抗衰+修护_高活跃高频高消费
U00004960,高价值_抗衰+修护_高活跃高频高消费
U00005020,高价值_抗衰+修护_高活跃高频高消费
U00005100,高价值_抗衰+修护_高活跃高频高消费
U00005177,高价值_抗衰+修护_高活跃高频高消费
U00005315,高价值_抗衰+修护_高活跃高频高消费
U00005334,高价值_抗衰+修护_高活跃高频高消费
U00005402,高价值_抗衰+修护_高活跃高频高消费
U00005469,高价值_抗衰+修护_高活跃高频高消费
U00005538,高价值_抗衰+修护_高活跃高频高消费
U00005539,高价值_抗衰+修护_高活跃高频高消费
U00005559,高价值_抗衰+修护_高活跃高频高消费
U00005582,高价值_抗衰+修护_高活跃高频高消费
U00005619,高价值_抗衰+修护_高活跃高频高消费
U00005689,高价值_抗衰+修护_高活跃高频高消费
U00005898,高价值_抗衰+修护_高活跃高频高消费
U00005924,高价值_抗衰+修护_高活跃高频高消费
U00005945,高价值_抗衰+修护_高活跃高频高消费
U00005970,高价值_抗衰+修护_高活跃高频高消费
U00005995,高价值_抗衰+修护_高活跃高频高消费
U00006009,高价值_抗衰+修护_高活跃高频高消费
U00006045,高价值_抗衰+修护_高活跃高频高消费
U00006051,高价值_抗衰+修护_高活跃高频高消费
U00006074,高价值_抗衰+修护_高活跃高频高消费
U00006112,高价值_抗衰+修护_高活跃高频高消费
U00006179,高价值_抗衰+修护_高活跃高频高消费
U00006291,高价值_抗衰+修护_高活跃高频高消费
U00006302,高价值_抗衰+修护_高活跃高频高消费
U00006327,高价值_抗衰+修护_高活跃高频高消费
U00006361,高价值_抗衰+修护_高活跃高频高消费
U00006378,高价值_抗衰+修护_高活跃高频高消费
U00006392,高价值_抗衰+修护_高活跃高频高消费
U00006541,高价值_抗衰+修护_高活跃高频高消费
U00006551,高价值_抗衰+修护_高活跃高频高消费
U00006555,高价值_抗衰+修护_高活跃高频高消费
U00006612,高价值_抗衰+修护_高活跃高频高消费
U00006621,高价值_抗衰+修护_高活跃高频高消费
U00006648,高价值_抗衰+修护_高活跃高频高消费
U00006693,高价值_抗衰+修护_高活跃高频高消费
U00006739,高价值_抗衰+修护_高活跃高频高消费
U00006919,高价值_抗衰+修护_高活跃高频高消费
U00006977,高价值_抗衰+修护_高活跃高频高消费
U00006979,高价值_抗衰+修护_高活跃高频高消费
U00006985,高价值_抗衰+修护_高活跃高频高消费
U00007107,高价值_抗衰+修护_高活跃高频高消费
U00007166,高价值_抗衰+修护_高活跃高频高消费
U00007175,高价值_抗衰+修护_高活跃高频高消费
U00007196,高价值_抗衰+修护_高活跃高频高消费
U00007268,高价值_抗衰+修护_高活跃高频高消费
U00007293,高价值_抗衰+修护_高活跃高频高消费
U00007314,高价值_抗衰+修护_高活跃高频高消费
U00007331,高价值_抗衰+修护_高活跃高频高消费
U00007433,高价值_抗衰+修护_高活跃高频高消费
U00007505,高价值_抗衰+修护_高活跃高频高消费
U00007521,高价值_抗衰+修护_高活跃高频高消费
U00007538,高价值_抗衰+修护_高活跃高频高消费
U00007559,高价值_抗衰+修护_高活跃高频高消费
U00007675,高价值_抗衰+修护_高活跃高频高消费
U00007744,高价值_抗衰+修护_高活跃高频高消费
U00007780,高价值_抗衰+修护_高活跃高频高消费
U00007825,高价值_抗衰+修护_高活跃高频高消费
U00007831,高价值_抗衰+修护_高活跃高频高消费
U00007863,高价值_抗衰+修护_高活跃高频高消费
U00007864,高价值_抗衰+修护_高活跃高频高消费
U00007872,高价值_抗衰+修护_高活跃高频高消费
U00007962,高价值_抗衰+修护_高活跃高频高消费
U00007970,高价值_抗衰+修护_高活跃高频高消费
U00007998,高价值_抗衰+修护_高活跃高频高消费
U00008001,高价值_抗衰+修护_高活跃高频高消费
U00008004,高价值_抗衰+修护_高活跃高频高消费
U00008007,高价值_抗衰+修护_高活跃高频高消费
U00008008,高价值_抗衰+修护_高活跃高频高消费
U00008010,高价值_抗衰+修护_高活跃高频高消费
U00008016,高价值_抗衰+修护_高活跃高频高消费
U00008044,高价值_抗衰+修护_高活跃高频高消费
U00008109,高价值_抗衰+修护_高活跃高频高消费
U00008129,高价值_抗衰+修护_高活跃高频高消费
U00008217,高价值_抗衰+修护_高活跃高频高消费
U00008245,高价值_抗衰+修护_高活跃高频高消费
U00008361,高价值_抗衰+修护_高活跃高频高消费
U00008702,高价值_抗衰+修护_高活跃高频高消费
U00008758,高价值_抗衰+修护_高活跃高频高消费
U00008822,高价值_抗衰+修护_高活跃高频高消费
U00008841,高价值_抗衰+修护_高活跃高频高消费
U00008842,高价值_抗衰+修护_高活跃高频高消费
U00008867,高价值_抗衰+修护_高活跃高频高消费
U00008937,高价值_抗衰+修护_高活跃高频高消费
U00008996,高价值_抗衰+修护_高活跃高频高消费
U00009001,高价值_抗衰+修护_高活跃高频高消费
U00009008,高价值_抗衰+修护_高活跃高频高消费
U00009019,高价值_抗衰+修护_高活跃高频高消费
U00009179,高价值_抗衰+修护_高活跃高频高消费
U00009275,高价值_抗衰+修护_高活跃高频高消费
U00009288,高价值_抗衰+修护_高活跃高频高消费
U00009330,高价值_抗衰+修护_高活跃高频高消费
U00009377,高价值_抗衰+修护_高活跃高频高消费
U00009379,高价值_抗衰+修护_高活跃高频高消费
U00009391,高价值_抗衰+修护_高活跃高频高消费
U00009431,高价值_抗衰+修护_高活跃高频高消费
U00009442,高价值_抗衰+修护_高活跃高频高消费
U00009529,高价值_抗衰+修护_高活跃高频高消费
U00009569,高价值_抗衰+修护_高活跃高频高消费
U00009627,高价值_抗衰+修护_高活跃高频高消费
U00009731,高价值_抗衰+修护_高活跃高频高消费
U00009799,高价值_抗衰+修护_高活跃高频高消费
U00009854,高价值_抗衰+修护_高活跃高频高消费
U00009929,高价值_抗衰+修护_高活跃高频高消费
U00009969,高价值_抗衰+修护_高活跃高频高消费
U00009977,高价值_抗衰+修护_高活跃高频高消费
U00009996,高价值_抗衰+修护_高活跃高频高消费
U00010129,高价值_抗衰+修护_高活跃高频高消费
U00010136,高价值_抗衰+修护_高活跃高频高消费
U00010139,高价值_抗衰+修护_高活跃高频高消费
U00010283,高价值_抗衰+修护_高活跃高频高消费
U00010295,高价值_抗衰+修护_高活跃高频高消费
U00010317,高价值_抗衰+修护_高活跃高频高消费
U00010345,高价值_抗衰+修护_高活跃高频高消费
U00010346,高价值_抗衰+修护_高活跃高频高消费
U00010352,高价值_抗衰+修护_高活跃高频高消费
U00010359,高价值_抗衰+修护_高活跃高频高消费
U00010422,高价值_抗衰+修护_高活跃高频高消费
U00010461,高价值_抗衰+修护_高活跃高频高消费
U00010555,高价值_抗衰+修护_高活跃高频高消费
U00010585,高价值_抗衰+修护_高活跃高频高消费
U00010611,高价值_抗衰+修护_高活跃高频高消费
U00010759,高价值_抗衰+修护_高活跃高频高消费
U00010878,高价值_抗衰+修护_高活跃高频高消费
