用户ID,cluster_name
U00000461,低价值_保湿+修护_低活跃低频低消费
U00000484,低价值_保湿+修护_低活跃低频低消费
U00000633,低价值_保湿+修护_低活跃低频低消费
U00000677,低价值_保湿+修护_低活跃低频低消费
U00001056,低价值_保湿+修护_低活跃低频低消费
U00001115,低价值_保湿+修护_低活跃低频低消费
U00001173,低价值_保湿+修护_低活跃低频低消费
U00001414,低价值_保湿+修护_低活跃低频低消费
U00001444,低价值_保湿+修护_低活跃低频低消费
U00001468,低价值_保湿+修护_低活跃低频低消费
U00001561,低价值_保湿+修护_低活跃低频低消费
U00001614,低价值_保湿+修护_低活跃低频低消费
U00002251,低价值_保湿+修护_低活跃低频低消费
U00002289,低价值_保湿+修护_低活跃低频低消费
U00002316,低价值_保湿+修护_低活跃低频低消费
U00002424,低价值_保湿+修护_低活跃低频低消费
U00002446,低价值_保湿+修护_低活跃低频低消费
U00002483,低价值_保湿+修护_低活跃低频低消费
U00002555,低价值_保湿+修护_低活跃低频低消费
U00002589,低价值_保湿+修护_低活跃低频低消费
U00003055,低价值_保湿+修护_低活跃低频低消费
U00003067,低价值_保湿+修护_低活跃低频低消费
U00003090,低价值_保湿+修护_低活跃低频低消费
U00003375,低价值_保湿+修护_低活跃低频低消费
U00003490,低价值_保湿+修护_低活跃低频低消费
U00003579,低价值_保湿+修护_低活跃低频低消费
U00003718,低价值_保湿+修护_低活跃低频低消费
U00003757,低价值_保湿+修护_低活跃低频低消费
U00003760,低价值_保湿+修护_低活跃低频低消费
U00003804,低价值_保湿+修护_低活跃低频低消费
U00003837,低价值_保湿+修护_低活跃低频低消费
U00004238,低价值_保湿+修护_低活跃低频低消费
U00004413,低价值_保湿+修护_低活跃低频低消费
U00004485,低价值_保湿+修护_低活跃低频低消费
U00004695,低价值_保湿+修护_低活跃低频低消费
U00004697,低价值_保湿+修护_低活跃低频低消费
U00004848,低价值_保湿+修护_低活跃低频低消费
U00004931,低价值_保湿+修护_低活跃低频低消费
U00005084,低价值_保湿+修护_低活跃低频低消费
U00005392,低价值_保湿+修护_低活跃低频低消费
U00005509,低价值_保湿+修护_低活跃低频低消费
U00005516,低价值_保湿+修护_低活跃低频低消费
U00005572,低价值_保湿+修护_低活跃低频低消费
U00005574,低价值_保湿+修护_低活跃低频低消费
U00005835,低价值_保湿+修护_低活跃低频低消费
U00006115,低价值_保湿+修护_低活跃低频低消费
U00006196,低价值_保湿+修护_低活跃低频低消费
U00006242,低价值_保湿+修护_低活跃低频低消费
U00006509,低价值_保湿+修护_低活跃低频低消费
U00006523,低价值_保湿+修护_低活跃低频低消费
U00006691,低价值_保湿+修护_低活跃低频低消费
U00006875,低价值_保湿+修护_低活跃低频低消费
U00006894,低价值_保湿+修护_低活跃低频低消费
U00006917,低价值_保湿+修护_低活跃低频低消费
U00006924,低价值_保湿+修护_低活跃低频低消费
U00007080,低价值_保湿+修护_低活跃低频低消费
U00007406,低价值_保湿+修护_低活跃低频低消费
U00007483,低价值_保湿+修护_低活跃低频低消费
U00007584,低价值_保湿+修护_低活跃低频低消费
U00007783,低价值_保湿+修护_低活跃低频低消费
U00007798,低价值_保湿+修护_低活跃低频低消费
U00007922,低价值_保湿+修护_低活跃低频低消费
U00008355,低价值_保湿+修护_低活跃低频低消费
U00008499,低价值_保湿+修护_低活跃低频低消费
U00008503,低价值_保湿+修护_低活跃低频低消费
U00008566,低价值_保湿+修护_低活跃低频低消费
U00008683,低价值_保湿+修护_低活跃低频低消费
U00008829,低价值_保湿+修护_低活跃低频低消费
