用户ID,cluster_name
U00000112,中价值_修护+保湿_中活跃中频高消费
U00000567,中价值_修护+保湿_中活跃中频高消费
U00000632,中价值_修护+保湿_中活跃中频高消费
U00000725,中价值_修护+保湿_中活跃中频高消费
U00000849,中价值_修护+保湿_中活跃中频高消费
U00000872,中价值_修护+保湿_中活跃中频高消费
U00000960,中价值_修护+保湿_中活跃中频高消费
U00001315,中价值_修护+保湿_中活跃中频高消费
U00001365,中价值_修护+保湿_中活跃中频高消费
U00001437,中价值_修护+保湿_中活跃中频高消费
U00001542,中价值_修护+保湿_中活跃中频高消费
U00001591,中价值_修护+保湿_中活跃中频高消费
U00002002,中价值_修护+保湿_中活跃中频高消费
U00002496,中价值_修护+保湿_中活跃中频高消费
U00002888,中价值_修护+保湿_中活跃中频高消费
U00002958,中价值_修护+保湿_中活跃中频高消费
U00003122,中价值_修护+保湿_中活跃中频高消费
U00003323,中价值_修护+保湿_中活跃中频高消费
U00003502,中价值_修护+保湿_中活跃中频高消费
U00003900,中价值_修护+保湿_中活跃中频高消费
U00003966,中价值_修护+保湿_中活跃中频高消费
U00004260,中价值_修护+保湿_中活跃中频高消费
U00004406,中价值_修护+保湿_中活跃中频高消费
U00004550,中价值_修护+保湿_中活跃中频高消费
U00004635,中价值_修护+保湿_中活跃中频高消费
U00004785,中价值_修护+保湿_中活跃中频高消费
U00004878,中价值_修护+保湿_中活跃中频高消费
U00005119,中价值_修护+保湿_中活跃中频高消费
U00005232,中价值_修护+保湿_中活跃中频高消费
U00005656,中价值_修护+保湿_中活跃中频高消费
U00005843,中价值_修护+保湿_中活跃中频高消费
U00006757,中价值_修护+保湿_中活跃中频高消费
U00006820,中价值_修护+保湿_中活跃中频高消费
U00006840,中价值_修护+保湿_中活跃中频高消费
U00006869,中价值_修护+保湿_中活跃中频高消费
U00006892,中价值_修护+保湿_中活跃中频高消费
U00007302,中价值_修护+保湿_中活跃中频高消费
U00007385,中价值_修护+保湿_中活跃中频高消费
U00007416,中价值_修护+保湿_中活跃中频高消费
U00007613,中价值_修护+保湿_中活跃中频高消费
U00007782,中价值_修护+保湿_中活跃中频高消费
U00008320,中价值_修护+保湿_中活跃中频高消费
U00009345,中价值_修护+保湿_中活跃中频高消费
U00010039,中价值_修护+保湿_中活跃中频高消费
U00010043,中价值_修护+保湿_中活跃中频高消费
U00010076,中价值_修护+保湿_中活跃中频高消费
U00010159,中价值_修护+保湿_中活跃中频高消费
U00010479,中价值_修护+保湿_中活跃中频高消费
U00010714,中价值_修护+保湿_中活跃中频高消费
U00010921,中价值_修护+保湿_中活跃中频高消费
U00011164,中价值_修护+保湿_中活跃中频高消费
U00011183,中价值_修护+保湿_中活跃中频高消费
U00011663,中价值_修护+保湿_中活跃中频高消费
U00011693,中价值_修护+保湿_中活跃中频高消费
U00012121,中价值_修护+保湿_中活跃中频高消费
U00012297,中价值_修护+保湿_中活跃中频高消费
U00012334,中价值_修护+保湿_中活跃中频高消费
