用户ID,cluster_name
U00000240,中价值_抗衰+修护_低活跃中频高消费
U00000295,中价值_抗衰+修护_低活跃中频高消费
U00000342,中价值_抗衰+修护_低活跃中频高消费
U00000394,中价值_抗衰+修护_低活跃中频高消费
U00000405,中价值_抗衰+修护_低活跃中频高消费
U00000418,中价值_抗衰+修护_低活跃中频高消费
U00000458,中价值_抗衰+修护_低活跃中频高消费
U00000462,中价值_抗衰+修护_低活跃中频高消费
U00000476,中价值_抗衰+修护_低活跃中频高消费
U00000597,中价值_抗衰+修护_低活跃中频高消费
U00000683,中价值_抗衰+修护_低活跃中频高消费
U00000685,中价值_抗衰+修护_低活跃中频高消费
U00000756,中价值_抗衰+修护_低活跃中频高消费
U00000940,中价值_抗衰+修护_低活跃中频高消费
U00000968,中价值_抗衰+修护_低活跃中频高消费
U00000981,中价值_抗衰+修护_低活跃中频高消费
U00001068,中价值_抗衰+修护_低活跃中频高消费
U00001092,中价值_抗衰+修护_低活跃中频高消费
U00001331,中价值_抗衰+修护_低活跃中频高消费
U00001554,中价值_抗衰+修护_低活跃中频高消费
U00001826,中价值_抗衰+修护_低活跃中频高消费
U00001854,中价值_抗衰+修护_低活跃中频高消费
U00002224,中价值_抗衰+修护_低活跃中频高消费
U00002378,中价值_抗衰+修护_低活跃中频高消费
U00002432,中价值_抗衰+修护_低活跃中频高消费
U00002519,中价值_抗衰+修护_低活跃中频高消费
U00002637,中价值_抗衰+修护_低活跃中频高消费
U00002639,中价值_抗衰+修护_低活跃中频高消费
U00002674,中价值_抗衰+修护_低活跃中频高消费
U00002675,中价值_抗衰+修护_低活跃中频高消费
U00002680,中价值_抗衰+修护_低活跃中频高消费
U00002749,中价值_抗衰+修护_低活跃中频高消费
U00003023,中价值_抗衰+修护_低活跃中频高消费
U00003053,中价值_抗衰+修护_低活跃中频高消费
U00003125,中价值_抗衰+修护_低活跃中频高消费
U00003147,中价值_抗衰+修护_低活跃中频高消费
U00003226,中价值_抗衰+修护_低活跃中频高消费
U00003261,中价值_抗衰+修护_低活跃中频高消费
U00003309,中价值_抗衰+修护_低活跃中频高消费
U00003327,中价值_抗衰+修护_低活跃中频高消费
U00003328,中价值_抗衰+修护_低活跃中频高消费
U00003337,中价值_抗衰+修护_低活跃中频高消费
U00003383,中价值_抗衰+修护_低活跃中频高消费
U00003520,中价值_抗衰+修护_低活跃中频高消费
U00003559,中价值_抗衰+修护_低活跃中频高消费
U00003566,中价值_抗衰+修护_低活跃中频高消费
U00003654,中价值_抗衰+修护_低活跃中频高消费
U00003717,中价值_抗衰+修护_低活跃中频高消费
U00003904,中价值_抗衰+修护_低活跃中频高消费
U00004194,中价值_抗衰+修护_低活跃中频高消费
U00004469,中价值_抗衰+修护_低活跃中频高消费
U00004607,中价值_抗衰+修护_低活跃中频高消费
U00004651,中价值_抗衰+修护_低活跃中频高消费
U00004703,中价值_抗衰+修护_低活跃中频高消费
U00004752,中价值_抗衰+修护_低活跃中频高消费
U00004780,中价值_抗衰+修护_低活跃中频高消费
U00004924,中价值_抗衰+修护_低活跃中频高消费
U00004997,中价值_抗衰+修护_低活跃中频高消费
U00005007,中价值_抗衰+修护_低活跃中频高消费
U00005088,中价值_抗衰+修护_低活跃中频高消费
U00005099,中价值_抗衰+修护_低活跃中频高消费
U00005102,中价值_抗衰+修护_低活跃中频高消费
U00005132,中价值_抗衰+修护_低活跃中频高消费
U00005186,中价值_抗衰+修护_低活跃中频高消费
U00005238,中价值_抗衰+修护_低活跃中频高消费
U00005347,中价值_抗衰+修护_低活跃中频高消费
U00005369,中价值_抗衰+修护_低活跃中频高消费
U00005403,中价值_抗衰+修护_低活跃中频高消费
U00005494,中价值_抗衰+修护_低活跃中频高消费
U00005819,中价值_抗衰+修护_低活跃中频高消费
U00006061,中价值_抗衰+修护_低活跃中频高消费
U00006103,中价值_抗衰+修护_低活跃中频高消费
U00006234,中价值_抗衰+修护_低活跃中频高消费
U00006297,中价值_抗衰+修护_低活跃中频高消费
U00006311,中价值_抗衰+修护_低活跃中频高消费
U00006398,中价值_抗衰+修护_低活跃中频高消费
U00006412,中价值_抗衰+修护_低活跃中频高消费
U00006468,中价值_抗衰+修护_低活跃中频高消费
U00006522,中价值_抗衰+修护_低活跃中频高消费
U00006535,中价值_抗衰+修护_低活跃中频高消费
U00006700,中价值_抗衰+修护_低活跃中频高消费
U00006748,中价值_抗衰+修护_低活跃中频高消费
U00006803,中价值_抗衰+修护_低活跃中频高消费
U00006898,中价值_抗衰+修护_低活跃中频高消费
U00007041,中价值_抗衰+修护_低活跃中频高消费
U00007067,中价值_抗衰+修护_低活跃中频高消费
U00007109,中价值_抗衰+修护_低活跃中频高消费
U00007123,中价值_抗衰+修护_低活跃中频高消费
U00007341,中价值_抗衰+修护_低活跃中频高消费
U00007402,中价值_抗衰+修护_低活跃中频高消费
U00007430,中价值_抗衰+修护_低活跃中频高消费
U00007440,中价值_抗衰+修护_低活跃中频高消费
U00007770,中价值_抗衰+修护_低活跃中频高消费
U00007796,中价值_抗衰+修护_低活跃中频高消费
U00007882,中价值_抗衰+修护_低活跃中频高消费
U00007950,中价值_抗衰+修护_低活跃中频高消费
U00007966,中价值_抗衰+修护_低活跃中频高消费
U00007983,中价值_抗衰+修护_低活跃中频高消费
U00008074,中价值_抗衰+修护_低活跃中频高消费
U00008113,中价值_抗衰+修护_低活跃中频高消费
U00008275,中价值_抗衰+修护_低活跃中频高消费
U00008371,中价值_抗衰+修护_低活跃中频高消费
U00008408,中价值_抗衰+修护_低活跃中频高消费
U00008427,中价值_抗衰+修护_低活跃中频高消费
U00008446,中价值_抗衰+修护_低活跃中频高消费
U00008498,中价值_抗衰+修护_低活跃中频高消费
U00008505,中价值_抗衰+修护_低活跃中频高消费
U00008588,中价值_抗衰+修护_低活跃中频高消费
U00008589,中价值_抗衰+修护_低活跃中频高消费
U00008686,中价值_抗衰+修护_低活跃中频高消费
U00008761,中价值_抗衰+修护_低活跃中频高消费
U00008914,中价值_抗衰+修护_低活跃中频高消费
U00008924,中价值_抗衰+修护_低活跃中频高消费
U00008951,中价值_抗衰+修护_低活跃中频高消费
U00009050,中价值_抗衰+修护_低活跃中频高消费
U00009064,中价值_抗衰+修护_低活跃中频高消费
U00009080,中价值_抗衰+修护_低活跃中频高消费
U00009168,中价值_抗衰+修护_低活跃中频高消费
U00009304,中价值_抗衰+修护_低活跃中频高消费
U00009329,中价值_抗衰+修护_低活跃中频高消费
U00009576,中价值_抗衰+修护_低活跃中频高消费
U00009600,中价值_抗衰+修护_低活跃中频高消费
U00009634,中价值_抗衰+修护_低活跃中频高消费
U00009766,中价值_抗衰+修护_低活跃中频高消费
U00009776,中价值_抗衰+修护_低活跃中频高消费
U00009825,中价值_抗衰+修护_低活跃中频高消费
U00009859,中价值_抗衰+修护_低活跃中频高消费
U00010081,中价值_抗衰+修护_低活跃中频高消费
U00010222,中价值_抗衰+修护_低活跃中频高消费
U00010314,中价值_抗衰+修护_低活跃中频高消费
U00010531,中价值_抗衰+修护_低活跃中频高消费
U00010537,中价值_抗衰+修护_低活跃中频高消费
U00010562,中价值_抗衰+修护_低活跃中频高消费
U00010607,中价值_抗衰+修护_低活跃中频高消费
U00010679,中价值_抗衰+修护_低活跃中频高消费
U00010682,中价值_抗衰+修护_低活跃中频高消费
U00010710,中价值_抗衰+修护_低活跃中频高消费
U00010818,中价值_抗衰+修护_低活跃中频高消费
U00010884,中价值_抗衰+修护_低活跃中频高消费
U00010894,中价值_抗衰+修护_低活跃中频高消费
U00010900,中价值_抗衰+修护_低活跃中频高消费
U00011349,中价值_抗衰+修护_低活跃中频高消费
U00011414,中价值_抗衰+修护_低活跃中频高消费
U00011508,中价值_抗衰+修护_低活跃中频高消费
U00011564,中价值_抗衰+修护_低活跃中频高消费
U00011603,中价值_抗衰+修护_低活跃中频高消费
U00011619,中价值_抗衰+修护_低活跃中频高消费
U00011637,中价值_抗衰+修护_低活跃中频高消费
U00011713,中价值_抗衰+修护_低活跃中频高消费
U00011790,中价值_抗衰+修护_低活跃中频高消费
U00011821,中价值_抗衰+修护_低活跃中频高消费
U00011831,中价值_抗衰+修护_低活跃中频高消费
U00011881,中价值_抗衰+修护_低活跃中频高消费
U00011934,中价值_抗衰+修护_低活跃中频高消费
U00012068,中价值_抗衰+修护_低活跃中频高消费
U00012144,中价值_抗衰+修护_低活跃中频高消费
U00012181,中价值_抗衰+修护_低活跃中频高消费
U00012209,中价值_抗衰+修护_低活跃中频高消费
U00012265,中价值_抗衰+修护_低活跃中频高消费
U00012310,中价值_抗衰+修护_低活跃中频高消费
U00012504,中价值_抗衰+修护_低活跃中频高消费
U00012622,中价值_抗衰+修护_低活跃中频高消费
U00012685,中价值_抗衰+修护_低活跃中频高消费
U00012686,中价值_抗衰+修护_低活跃中频高消费
U00012734,中价值_抗衰+修护_低活跃中频高消费
U00012803,中价值_抗衰+修护_低活跃中频高消费
U00012846,中价值_抗衰+修护_低活跃中频高消费
U00012890,中价值_抗衰+修护_低活跃中频高消费
U00013001,中价值_抗衰+修护_低活跃中频高消费
U00013006,中价值_抗衰+修护_低活跃中频高消费
U00013140,中价值_抗衰+修护_低活跃中频高消费
U00013153,中价值_抗衰+修护_低活跃中频高消费
U00013154,中价值_抗衰+修护_低活跃中频高消费
U00013184,中价值_抗衰+修护_低活跃中频高消费
U00013318,中价值_抗衰+修护_低活跃中频高消费
U00013370,中价值_抗衰+修护_低活跃中频高消费
U00013428,中价值_抗衰+修护_低活跃中频高消费
U00013503,中价值_抗衰+修护_低活跃中频高消费
U00013537,中价值_抗衰+修护_低活跃中频高消费
U00013538,中价值_抗衰+修护_低活跃中频高消费
U00013586,中价值_抗衰+修护_低活跃中频高消费
U00013611,中价值_抗衰+修护_低活跃中频高消费
U00013662,中价值_抗衰+修护_低活跃中频高消费
U00013672,中价值_抗衰+修护_低活跃中频高消费
U00013710,中价值_抗衰+修护_低活跃中频高消费
U00013734,中价值_抗衰+修护_低活跃中频高消费
U00013758,中价值_抗衰+修护_低活跃中频高消费
U00013908,中价值_抗衰+修护_低活跃中频高消费
U00013950,中价值_抗衰+修护_低活跃中频高消费
U00013985,中价值_抗衰+修护_低活跃中频高消费
U00013992,中价值_抗衰+修护_低活跃中频高消费
U00014131,中价值_抗衰+修护_低活跃中频高消费
U00014134,中价值_抗衰+修护_低活跃中频高消费
U00014141,中价值_抗衰+修护_低活跃中频高消费
U00014203,中价值_抗衰+修护_低活跃中频高消费
U00014226,中价值_抗衰+修护_低活跃中频高消费
U00014284,中价值_抗衰+修护_低活跃中频高消费
U00014451,中价值_抗衰+修护_低活跃中频高消费
U00014654,中价值_抗衰+修护_低活跃中频高消费
U00014715,中价值_抗衰+修护_低活跃中频高消费
U00014761,中价值_抗衰+修护_低活跃中频高消费
U00014785,中价值_抗衰+修护_低活跃中频高消费
U00014803,中价值_抗衰+修护_低活跃中频高消费
U00014817,中价值_抗衰+修护_低活跃中频高消费
U00014904,中价值_抗衰+修护_低活跃中频高消费
U00014999,中价值_抗衰+修护_低活跃中频高消费
U00015060,中价值_抗衰+修护_低活跃中频高消费
U00015087,中价值_抗衰+修护_低活跃中频高消费
U00015146,中价值_抗衰+修护_低活跃中频高消费
U00015205,中价值_抗衰+修护_低活跃中频高消费
U00015210,中价值_抗衰+修护_低活跃中频高消费
U00015287,中价值_抗衰+修护_低活跃中频高消费
U00015299,中价值_抗衰+修护_低活跃中频高消费
U00015327,中价值_抗衰+修护_低活跃中频高消费
U00015403,中价值_抗衰+修护_低活跃中频高消费
U00015435,中价值_抗衰+修护_低活跃中频高消费
U00015459,中价值_抗衰+修护_低活跃中频高消费
U00015486,中价值_抗衰+修护_低活跃中频高消费
U00015628,中价值_抗衰+修护_低活跃中频高消费
U00015798,中价值_抗衰+修护_低活跃中频高消费
U00015809,中价值_抗衰+修护_低活跃中频高消费
U00015810,中价值_抗衰+修护_低活跃中频高消费
U00015864,中价值_抗衰+修护_低活跃中频高消费
U00015865,中价值_抗衰+修护_低活跃中频高消费
U00015891,中价值_抗衰+修护_低活跃中频高消费
U00015934,中价值_抗衰+修护_低活跃中频高消费
U00016032,中价值_抗衰+修护_低活跃中频高消费
U00016050,中价值_抗衰+修护_低活跃中频高消费
U00016122,中价值_抗衰+修护_低活跃中频高消费
U00016128,中价值_抗衰+修护_低活跃中频高消费
U00016265,中价值_抗衰+修护_低活跃中频高消费
U00016310,中价值_抗衰+修护_低活跃中频高消费
U00016332,中价值_抗衰+修护_低活跃中频高消费
U00016417,中价值_抗衰+修护_低活跃中频高消费
U00016465,中价值_抗衰+修护_低活跃中频高消费
U00016478,中价值_抗衰+修护_低活跃中频高消费
U00016520,中价值_抗衰+修护_低活跃中频高消费
U00016627,中价值_抗衰+修护_低活跃中频高消费
U00016971,中价值_抗衰+修护_低活跃中频高消费
U00017025,中价值_抗衰+修护_低活跃中频高消费
U00017092,中价值_抗衰+修护_低活跃中频高消费
U00017235,中价值_抗衰+修护_低活跃中频高消费
U00017350,中价值_抗衰+修护_低活跃中频高消费
U00017361,中价值_抗衰+修护_低活跃中频高消费
U00017428,中价值_抗衰+修护_低活跃中频高消费
U00017587,中价值_抗衰+修护_低活跃中频高消费
U00017699,中价值_抗衰+修护_低活跃中频高消费
U00017822,中价值_抗衰+修护_低活跃中频高消费
U00017837,中价值_抗衰+修护_低活跃中频高消费
U00017909,中价值_抗衰+修护_低活跃中频高消费
U00017916,中价值_抗衰+修护_低活跃中频高消费
U00017928,中价值_抗衰+修护_低活跃中频高消费
U00018038,中价值_抗衰+修护_低活跃中频高消费
U00018389,中价值_抗衰+修护_低活跃中频高消费
U00018558,中价值_抗衰+修护_低活跃中频高消费
U00018708,中价值_抗衰+修护_低活跃中频高消费
U00018734,中价值_抗衰+修护_低活跃中频高消费
U00018823,中价值_抗衰+修护_低活跃中频高消费
U00018837,中价值_抗衰+修护_低活跃中频高消费
U00018870,中价值_抗衰+修护_低活跃中频高消费
U00018895,中价值_抗衰+修护_低活跃中频高消费
U00018960,中价值_抗衰+修护_低活跃中频高消费
U00019023,中价值_抗衰+修护_低活跃中频高消费
U00019030,中价值_抗衰+修护_低活跃中频高消费
U00019059,中价值_抗衰+修护_低活跃中频高消费
U00019168,中价值_抗衰+修护_低活跃中频高消费
U00019194,中价值_抗衰+修护_低活跃中频高消费
U00019266,中价值_抗衰+修护_低活跃中频高消费
U00019350,中价值_抗衰+修护_低活跃中频高消费
U00019385,中价值_抗衰+修护_低活跃中频高消费
U00019931,中价值_抗衰+修护_低活跃中频高消费
U00020038,中价值_抗衰+修护_低活跃中频高消费
U00020115,中价值_抗衰+修护_低活跃中频高消费
U00020116,中价值_抗衰+修护_低活跃中频高消费
U00020183,中价值_抗衰+修护_低活跃中频高消费
U00020243,中价值_抗衰+修护_低活跃中频高消费
U00020297,中价值_抗衰+修护_低活跃中频高消费
U00020341,中价值_抗衰+修护_低活跃中频高消费
U00020472,中价值_抗衰+修护_低活跃中频高消费
U00020523,中价值_抗衰+修护_低活跃中频高消费
U00020562,中价值_抗衰+修护_低活跃中频高消费
U00020571,中价值_抗衰+修护_低活跃中频高消费
U00020611,中价值_抗衰+修护_低活跃中频高消费
U00020921,中价值_抗衰+修护_低活跃中频高消费
U00020928,中价值_抗衰+修护_低活跃中频高消费
U00020955,中价值_抗衰+修护_低活跃中频高消费
U00020958,中价值_抗衰+修护_低活跃中频高消费
U00020972,中价值_抗衰+修护_低活跃中频高消费
U00020995,中价值_抗衰+修护_低活跃中频高消费
U00021014,中价值_抗衰+修护_低活跃中频高消费
U00021030,中价值_抗衰+修护_低活跃中频高消费
U00021131,中价值_抗衰+修护_低活跃中频高消费
U00021200,中价值_抗衰+修护_低活跃中频高消费
U00021304,中价值_抗衰+修护_低活跃中频高消费
