用户ID,cluster_name
U00000093,中价值_抗衰+抗氧化_中活跃中频高消费
U00000109,中价值_抗衰+抗氧化_中活跃中频高消费
U00000131,中价值_抗衰+抗氧化_中活跃中频高消费
U00000271,中价值_抗衰+抗氧化_中活跃中频高消费
U00000288,中价值_抗衰+抗氧化_中活跃中频高消费
U00000373,中价值_抗衰+抗氧化_中活跃中频高消费
U00000572,中价值_抗衰+抗氧化_中活跃中频高消费
U00000706,中价值_抗衰+抗氧化_中活跃中频高消费
U00000728,中价值_抗衰+抗氧化_中活跃中频高消费
U00000731,中价值_抗衰+抗氧化_中活跃中频高消费
U00001052,中价值_抗衰+抗氧化_中活跃中频高消费
U00001133,中价值_抗衰+抗氧化_中活跃中频高消费
U00001165,中价值_抗衰+抗氧化_中活跃中频高消费
U00001220,中价值_抗衰+抗氧化_中活跃中频高消费
U00001483,中价值_抗衰+抗氧化_中活跃中频高消费
U00001514,中价值_抗衰+抗氧化_中活跃中频高消费
U00001899,中价值_抗衰+抗氧化_中活跃中频高消费
U00001910,中价值_抗衰+抗氧化_中活跃中频高消费
U00001914,中价值_抗衰+抗氧化_中活跃中频高消费
U00001983,中价值_抗衰+抗氧化_中活跃中频高消费
U00002065,中价值_抗衰+抗氧化_中活跃中频高消费
U00002298,中价值_抗衰+抗氧化_中活跃中频高消费
U00002394,中价值_抗衰+抗氧化_中活跃中频高消费
U00002503,中价值_抗衰+抗氧化_中活跃中频高消费
U00002508,中价值_抗衰+抗氧化_中活跃中频高消费
U00002621,中价值_抗衰+抗氧化_中活跃中频高消费
U00002747,中价值_抗衰+抗氧化_中活跃中频高消费
U00002761,中价值_抗衰+抗氧化_中活跃中频高消费
U00002949,中价值_抗衰+抗氧化_中活跃中频高消费
U00003075,中价值_抗衰+抗氧化_中活跃中频高消费
U00003158,中价值_抗衰+抗氧化_中活跃中频高消费
U00003280,中价值_抗衰+抗氧化_中活跃中频高消费
U00003284,中价值_抗衰+抗氧化_中活跃中频高消费
U00003391,中价值_抗衰+抗氧化_中活跃中频高消费
U00003464,中价值_抗衰+抗氧化_中活跃中频高消费
