用户ID,cluster_name
U00000286,中价值_清爽+保湿_中活跃中频高消费
U00000320,中价值_清爽+保湿_中活跃中频高消费
U00000532,中价值_清爽+保湿_中活跃中频高消费
U00000548,中价值_清爽+保湿_中活跃中频高消费
U00000553,中价值_清爽+保湿_中活跃中频高消费
U00000560,中价值_清爽+保湿_中活跃中频高消费
U00000612,中价值_清爽+保湿_中活跃中频高消费
U00000624,中价值_清爽+保湿_中活跃中频高消费
U00000670,中价值_清爽+保湿_中活跃中频高消费
U00000762,中价值_清爽+保湿_中活跃中频高消费
U00000769,中价值_清爽+保湿_中活跃中频高消费
U00000821,中价值_清爽+保湿_中活跃中频高消费
U00000855,中价值_清爽+保湿_中活跃中频高消费
U00000916,中价值_清爽+保湿_中活跃中频高消费
U00001017,中价值_清爽+保湿_中活跃中频高消费
U00001075,中价值_清爽+保湿_中活跃中频高消费
U00001123,中价值_清爽+保湿_中活跃中频高消费
U00001225,中价值_清爽+保湿_中活跃中频高消费
U00001251,中价值_清爽+保湿_中活跃中频高消费
U00001261,中价值_清爽+保湿_中活跃中频高消费
U00001262,中价值_清爽+保湿_中活跃中频高消费
U00001281,中价值_清爽+保湿_中活跃中频高消费
U00001406,中价值_清爽+保湿_中活跃中频高消费
U00001486,中价值_清爽+保湿_中活跃中频高消费
U00001488,中价值_清爽+保湿_中活跃中频高消费
U00001515,中价值_清爽+保湿_中活跃中频高消费
U00001596,中价值_清爽+保湿_中活跃中频高消费
U00001618,中价值_清爽+保湿_中活跃中频高消费
U00001659,中价值_清爽+保湿_中活跃中频高消费
U00001752,中价值_清爽+保湿_中活跃中频高消费
U00001787,中价值_清爽+保湿_中活跃中频高消费
U00001845,中价值_清爽+保湿_中活跃中频高消费
U00001925,中价值_清爽+保湿_中活跃中频高消费
U00002016,中价值_清爽+保湿_中活跃中频高消费
U00002017,中价值_清爽+保湿_中活跃中频高消费
U00002057,中价值_清爽+保湿_中活跃中频高消费
U00002156,中价值_清爽+保湿_中活跃中频高消费
U00002242,中价值_清爽+保湿_中活跃中频高消费
U00002381,中价值_清爽+保湿_中活跃中频高消费
U00002546,中价值_清爽+保湿_中活跃中频高消费
U00002690,中价值_清爽+保湿_中活跃中频高消费
U00002739,中价值_清爽+保湿_中活跃中频高消费
U00002740,中价值_清爽+保湿_中活跃中频高消费
U00002780,中价值_清爽+保湿_中活跃中频高消费
U00002792,中价值_清爽+保湿_中活跃中频高消费
U00002866,中价值_清爽+保湿_中活跃中频高消费
U00002881,中价值_清爽+保湿_中活跃中频高消费
U00002989,中价值_清爽+保湿_中活跃中频高消费
U00002999,中价值_清爽+保湿_中活跃中频高消费
U00003059,中价值_清爽+保湿_中活跃中频高消费
U00003115,中价值_清爽+保湿_中活跃中频高消费
U00003230,中价值_清爽+保湿_中活跃中频高消费
U00003279,中价值_清爽+保湿_中活跃中频高消费
U00003317,中价值_清爽+保湿_中活跃中频高消费
U00003318,中价值_清爽+保湿_中活跃中频高消费
U00003359,中价值_清爽+保湿_中活跃中频高消费
U00003384,中价值_清爽+保湿_中活跃中频高消费
U00003471,中价值_清爽+保湿_中活跃中频高消费
U00003616,中价值_清爽+保湿_中活跃中频高消费
U00003621,中价值_清爽+保湿_中活跃中频高消费
U00003624,中价值_清爽+保湿_中活跃中频高消费
U00003626,中价值_清爽+保湿_中活跃中频高消费
U00003629,中价值_清爽+保湿_中活跃中频高消费
U00003667,中价值_清爽+保湿_中活跃中频高消费
U00003700,中价值_清爽+保湿_中活跃中频高消费
U00003859,中价值_清爽+保湿_中活跃中频高消费
U00003932,中价值_清爽+保湿_中活跃中频高消费
U00003959,中价值_清爽+保湿_中活跃中频高消费
U00004007,中价值_清爽+保湿_中活跃中频高消费
U00004074,中价值_清爽+保湿_中活跃中频高消费
U00004088,中价值_清爽+保湿_中活跃中频高消费
U00004090,中价值_清爽+保湿_中活跃中频高消费
U00004168,中价值_清爽+保湿_中活跃中频高消费
U00004209,中价值_清爽+保湿_中活跃中频高消费
U00004438,中价值_清爽+保湿_中活跃中频高消费
U00004507,中价值_清爽+保湿_中活跃中频高消费
U00004517,中价值_清爽+保湿_中活跃中频高消费
U00004610,中价值_清爽+保湿_中活跃中频高消费
U00004656,中价值_清爽+保湿_中活跃中频高消费
U00004801,中价值_清爽+保湿_中活跃中频高消费
U00004903,中价值_清爽+保湿_中活跃中频高消费
U00005266,中价值_清爽+保湿_中活跃中频高消费
U00005337,中价值_清爽+保湿_中活跃中频高消费
U00005507,中价值_清爽+保湿_中活跃中频高消费
U00005534,中价值_清爽+保湿_中活跃中频高消费
U00005629,中价值_清爽+保湿_中活跃中频高消费
U00005650,中价值_清爽+保湿_中活跃中频高消费
U00005788,中价值_清爽+保湿_中活跃中频高消费
U00005813,中价值_清爽+保湿_中活跃中频高消费
U00005844,中价值_清爽+保湿_中活跃中频高消费
U00005962,中价值_清爽+保湿_中活跃中频高消费
U00006030,中价值_清爽+保湿_中活跃中频高消费
U00006134,中价值_清爽+保湿_中活跃中频高消费
U00006158,中价值_清爽+保湿_中活跃中频高消费
U00006230,中价值_清爽+保湿_中活跃中频高消费
U00006243,中价值_清爽+保湿_中活跃中频高消费
U00006289,中价值_清爽+保湿_中活跃中频高消费
U00006337,中价值_清爽+保湿_中活跃中频高消费
U00006476,中价值_清爽+保湿_中活跃中频高消费
U00006558,中价值_清爽+保湿_中活跃中频高消费
U00006644,中价值_清爽+保湿_中活跃中频高消费
U00006649,中价值_清爽+保湿_中活跃中频高消费
U00006711,中价值_清爽+保湿_中活跃中频高消费
U00006911,中价值_清爽+保湿_中活跃中频高消费
U00006949,中价值_清爽+保湿_中活跃中频高消费
U00006980,中价值_清爽+保湿_中活跃中频高消费
U00006992,中价值_清爽+保湿_中活跃中频高消费
U00007150,中价值_清爽+保湿_中活跃中频高消费
U00007165,中价值_清爽+保湿_中活跃中频高消费
U00007259,中价值_清爽+保湿_中活跃中频高消费
U00007270,中价值_清爽+保湿_中活跃中频高消费
U00007305,中价值_清爽+保湿_中活跃中频高消费
U00007379,中价值_清爽+保湿_中活跃中频高消费
U00007441,中价值_清爽+保湿_中活跃中频高消费
U00007460,中价值_清爽+保湿_中活跃中频高消费
U00007562,中价值_清爽+保湿_中活跃中频高消费
U00007595,中价值_清爽+保湿_中活跃中频高消费
U00007667,中价值_清爽+保湿_中活跃中频高消费
U00007701,中价值_清爽+保湿_中活跃中频高消费
U00007711,中价值_清爽+保湿_中活跃中频高消费
U00007714,中价值_清爽+保湿_中活跃中频高消费
U00007725,中价值_清爽+保湿_中活跃中频高消费
U00007755,中价值_清爽+保湿_中活跃中频高消费
U00007778,中价值_清爽+保湿_中活跃中频高消费
U00007840,中价值_清爽+保湿_中活跃中频高消费
U00007885,中价值_清爽+保湿_中活跃中频高消费
U00007971,中价值_清爽+保湿_中活跃中频高消费
U00007980,中价值_清爽+保湿_中活跃中频高消费
U00007994,中价值_清爽+保湿_中活跃中频高消费
U00008011,中价值_清爽+保湿_中活跃中频高消费
U00008097,中价值_清爽+保湿_中活跃中频高消费
U00008216,中价值_清爽+保湿_中活跃中频高消费
U00008435,中价值_清爽+保湿_中活跃中频高消费
