用户ID,cluster_name
U00000518,低价值_抗氧化+清爽_低活跃低频中消费
U00000705,低价值_抗氧化+清爽_低活跃低频中消费
U00000710,低价值_抗氧化+清爽_低活跃低频中消费
U00000749,低价值_抗氧化+清爽_低活跃低频中消费
U00000773,低价值_抗氧化+清爽_低活跃低频中消费
U00000840,低价值_抗氧化+清爽_低活跃低频中消费
U00001007,低价值_抗氧化+清爽_低活跃低频中消费
U00001044,低价值_抗氧化+清爽_低活跃低频中消费
U00001146,低价值_抗氧化+清爽_低活跃低频中消费
U00001327,低价值_抗氧化+清爽_低活跃低频中消费
U00001453,低价值_抗氧化+清爽_低活跃低频中消费
U00001495,低价值_抗氧化+清爽_低活跃低频中消费
U00001719,低价值_抗氧化+清爽_低活跃低频中消费
U00002022,低价值_抗氧化+清爽_低活跃低频中消费
U00002042,低价值_抗氧化+清爽_低活跃低频中消费
U00002389,低价值_抗氧化+清爽_低活跃低频中消费
U00002578,低价值_抗氧化+清爽_低活跃低频中消费
U00002687,低价值_抗氧化+清爽_低活跃低频中消费
U00002883,低价值_抗氧化+清爽_低活跃低频中消费
U00002897,低价值_抗氧化+清爽_低活跃低频中消费
U00002995,低价值_抗氧化+清爽_低活跃低频中消费
U00003465,低价值_抗氧化+清爽_低活跃低频中消费
U00003523,低价值_抗氧化+清爽_低活跃低频中消费
U00003780,低价值_抗氧化+清爽_低活跃低频中消费
U00004003,低价值_抗氧化+清爽_低活跃低频中消费
U00004174,低价值_抗氧化+清爽_低活跃低频中消费
U00004337,低价值_抗氧化+清爽_低活跃低频中消费
U00004758,低价值_抗氧化+清爽_低活跃低频中消费
U00004874,低价值_抗氧化+清爽_低活跃低频中消费
U00005028,低价值_抗氧化+清爽_低活跃低频中消费
U00005503,低价值_抗氧化+清爽_低活跃低频中消费
U00005934,低价值_抗氧化+清爽_低活跃低频中消费
U00005943,低价值_抗氧化+清爽_低活跃低频中消费
U00006275,低价值_抗氧化+清爽_低活跃低频中消费
U00006298,低价值_抗氧化+清爽_低活跃低频中消费
U00006526,低价值_抗氧化+清爽_低活跃低频中消费
U00006636,低价值_抗氧化+清爽_低活跃低频中消费
U00006759,低价值_抗氧化+清爽_低活跃低频中消费
U00006826,低价值_抗氧化+清爽_低活跃低频中消费
U00006843,低价值_抗氧化+清爽_低活跃低频中消费
U00006848,低价值_抗氧化+清爽_低活跃低频中消费
U00006962,低价值_抗氧化+清爽_低活跃低频中消费
U00007004,低价值_抗氧化+清爽_低活跃低频中消费
U00007055,低价值_抗氧化+清爽_低活跃低频中消费
U00007204,低价值_抗氧化+清爽_低活跃低频中消费
U00007275,低价值_抗氧化+清爽_低活跃低频中消费
U00007348,低价值_抗氧化+清爽_低活跃低频中消费
U00007480,低价值_抗氧化+清爽_低活跃低频中消费
U00007745,低价值_抗氧化+清爽_低活跃低频中消费
U00007764,低价值_抗氧化+清爽_低活跃低频中消费
U00008066,低价值_抗氧化+清爽_低活跃低频中消费
U00008210,低价值_抗氧化+清爽_低活跃低频中消费
U00008283,低价值_抗氧化+清爽_低活跃低频中消费
U00008387,低价值_抗氧化+清爽_低活跃低频中消费
U00008477,低价值_抗氧化+清爽_低活跃低频中消费
U00008586,低价值_抗氧化+清爽_低活跃低频中消费
U00008604,低价值_抗氧化+清爽_低活跃低频中消费
U00008625,低价值_抗氧化+清爽_低活跃低频中消费
U00008797,低价值_抗氧化+清爽_低活跃低频中消费
U00008863,低价值_抗氧化+清爽_低活跃低频中消费
U00009056,低价值_抗氧化+清爽_低活跃低频中消费
U00009075,低价值_抗氧化+清爽_低活跃低频中消费
U00009218,低价值_抗氧化+清爽_低活跃低频中消费
U00009432,低价值_抗氧化+清爽_低活跃低频中消费
U00009472,低价值_抗氧化+清爽_低活跃低频中消费
U00009544,低价值_抗氧化+清爽_低活跃低频中消费
U00009555,低价值_抗氧化+清爽_低活跃低频中消费
U00009584,低价值_抗氧化+清爽_低活跃低频中消费
U00009598,低价值_抗氧化+清爽_低活跃低频中消费
U00009619,低价值_抗氧化+清爽_低活跃低频中消费
U00009650,低价值_抗氧化+清爽_低活跃低频中消费
U00009698,低价值_抗氧化+清爽_低活跃低频中消费
U00010325,低价值_抗氧化+清爽_低活跃低频中消费
U00010670,低价值_抗氧化+清爽_低活跃低频中消费
U00010685,低价值_抗氧化+清爽_低活跃低频中消费
U00010816,低价值_抗氧化+清爽_低活跃低频中消费
U00010936,低价值_抗氧化+清爽_低活跃低频中消费
U00011014,低价值_抗氧化+清爽_低活跃低频中消费
U00011071,低价值_抗氧化+清爽_低活跃低频中消费
U00011167,低价值_抗氧化+清爽_低活跃低频中消费
U00011530,低价值_抗氧化+清爽_低活跃低频中消费
U00011759,低价值_抗氧化+清爽_低活跃低频中消费
U00011806,低价值_抗氧化+清爽_低活跃低频中消费
U00011849,低价值_抗氧化+清爽_低活跃低频中消费
U00011898,低价值_抗氧化+清爽_低活跃低频中消费
U00011929,低价值_抗氧化+清爽_低活跃低频中消费
U00012354,低价值_抗氧化+清爽_低活跃低频中消费
U00012361,低价值_抗氧化+清爽_低活跃低频中消费
U00012538,低价值_抗氧化+清爽_低活跃低频中消费
U00012691,低价值_抗氧化+清爽_低活跃低频中消费
U00012737,低价值_抗氧化+清爽_低活跃低频中消费
U00013114,低价值_抗氧化+清爽_低活跃低频中消费
U00013779,低价值_抗氧化+清爽_低活跃低频中消费
U00013788,低价值_抗氧化+清爽_低活跃低频中消费
U00013800,低价值_抗氧化+清爽_低活跃低频中消费
U00013859,低价值_抗氧化+清爽_低活跃低频中消费
U00014190,低价值_抗氧化+清爽_低活跃低频中消费
U00014208,低价值_抗氧化+清爽_低活跃低频中消费
U00014924,低价值_抗氧化+清爽_低活跃低频中消费
U00015215,低价值_抗氧化+清爽_低活跃低频中消费
U00015409,低价值_抗氧化+清爽_低活跃低频中消费
U00015646,低价值_抗氧化+清爽_低活跃低频中消费
U00016068,低价值_抗氧化+清爽_低活跃低频中消费
U00016158,低价值_抗氧化+清爽_低活跃低频中消费
U00016284,低价值_抗氧化+清爽_低活跃低频中消费
U00016334,低价值_抗氧化+清爽_低活跃低频中消费
U00016352,低价值_抗氧化+清爽_低活跃低频中消费
U00016414,低价值_抗氧化+清爽_低活跃低频中消费
U00016430,低价值_抗氧化+清爽_低活跃低频中消费
U00016685,低价值_抗氧化+清爽_低活跃低频中消费
U00016745,低价值_抗氧化+清爽_低活跃低频中消费
U00016957,低价值_抗氧化+清爽_低活跃低频中消费
U00016980,低价值_抗氧化+清爽_低活跃低频中消费
U00016990,低价值_抗氧化+清爽_低活跃低频中消费
U00017023,低价值_抗氧化+清爽_低活跃低频中消费
U00017306,低价值_抗氧化+清爽_低活跃低频中消费
U00017477,低价值_抗氧化+清爽_低活跃低频中消费
U00017498,低价值_抗氧化+清爽_低活跃低频中消费
U00017775,低价值_抗氧化+清爽_低活跃低频中消费
U00017852,低价值_抗氧化+清爽_低活跃低频中消费
U00018108,低价值_抗氧化+清爽_低活跃低频中消费
U00018185,低价值_抗氧化+清爽_低活跃低频中消费
U00018411,低价值_抗氧化+清爽_低活跃低频中消费
U00018757,低价值_抗氧化+清爽_低活跃低频中消费
U00018769,低价值_抗氧化+清爽_低活跃低频中消费
U00018812,低价值_抗氧化+清爽_低活跃低频中消费
U00018851,低价值_抗氧化+清爽_低活跃低频中消费
U00018909,低价值_抗氧化+清爽_低活跃低频中消费
U00019111,低价值_抗氧化+清爽_低活跃低频中消费
U00019183,低价值_抗氧化+清爽_低活跃低频中消费
U00019314,低价值_抗氧化+清爽_低活跃低频中消费
U00019429,低价值_抗氧化+清爽_低活跃低频中消费
U00019512,低价值_抗氧化+清爽_低活跃低频中消费
U00019520,低价值_抗氧化+清爽_低活跃低频中消费
U00019608,低价值_抗氧化+清爽_低活跃低频中消费
U00019690,低价值_抗氧化+清爽_低活跃低频中消费
U00019712,低价值_抗氧化+清爽_低活跃低频中消费
U00020029,低价值_抗氧化+清爽_低活跃低频中消费
U00020093,低价值_抗氧化+清爽_低活跃低频中消费
U00020128,低价值_抗氧化+清爽_低活跃低频中消费
U00020207,低价值_抗氧化+清爽_低活跃低频中消费
U00020363,低价值_抗氧化+清爽_低活跃低频中消费
U00020525,低价值_抗氧化+清爽_低活跃低频中消费
U00020726,低价值_抗氧化+清爽_低活跃低频中消费
U00020768,低价值_抗氧化+清爽_低活跃低频中消费
U00021325,低价值_抗氧化+清爽_低活跃低频中消费
U00022088,低价值_抗氧化+清爽_低活跃低频中消费
U00022150,低价值_抗氧化+清爽_低活跃低频中消费
U00022471,低价值_抗氧化+清爽_低活跃低频中消费
U00022588,低价值_抗氧化+清爽_低活跃低频中消费
U00022843,低价值_抗氧化+清爽_低活跃低频中消费
U00022904,低价值_抗氧化+清爽_低活跃低频中消费
U00023071,低价值_抗氧化+清爽_低活跃低频中消费
U00023300,低价值_抗氧化+清爽_低活跃低频中消费
U00023371,低价值_抗氧化+清爽_低活跃低频中消费
U00023543,低价值_抗氧化+清爽_低活跃低频中消费
U00023806,低价值_抗氧化+清爽_低活跃低频中消费
U00023908,低价值_抗氧化+清爽_低活跃低频中消费
U00023956,低价值_抗氧化+清爽_低活跃低频中消费
U00024086,低价值_抗氧化+清爽_低活跃低频中消费
U00024116,低价值_抗氧化+清爽_低活跃低频中消费
U00024196,低价值_抗氧化+清爽_低活跃低频中消费
