用户ID,cluster_name
U00000504,低价值_抗衰+抗皱_低活跃低频中消费
U00001010,低价值_抗衰+抗皱_低活跃低频中消费
U00001154,低价值_抗衰+抗皱_低活跃低频中消费
U00001530,低价值_抗衰+抗皱_低活跃低频中消费
U00001730,低价值_抗衰+抗皱_低活跃低频中消费
U00001793,低价值_抗衰+抗皱_低活跃低频中消费
U00002146,低价值_抗衰+抗皱_低活跃低频中消费
U00002299,低价值_抗衰+抗皱_低活跃低频中消费
U00002603,低价值_抗衰+抗皱_低活跃低频中消费
U00003037,低价值_抗衰+抗皱_低活跃低频中消费
U00003041,低价值_抗衰+抗皱_低活跃低频中消费
U00003401,低价值_抗衰+抗皱_低活跃低频中消费
U00003510,低价值_抗衰+抗皱_低活跃低频中消费
U00003524,低价值_抗衰+抗皱_低活跃低频中消费
U00003619,低价值_抗衰+抗皱_低活跃低频中消费
U00003858,低价值_抗衰+抗皱_低活跃低频中消费
U00003963,低价值_抗衰+抗皱_低活跃低频中消费
U00004155,低价值_抗衰+抗皱_低活跃低频中消费
U00004250,低价值_抗衰+抗皱_低活跃低频中消费
U00004312,低价值_抗衰+抗皱_低活跃低频中消费
U00004458,低价值_抗衰+抗皱_低活跃低频中消费
U00004553,低价值_抗衰+抗皱_低活跃低频中消费
U00004681,低价值_抗衰+抗皱_低活跃低频中消费
U00004899,低价值_抗衰+抗皱_低活跃低频中消费
U00004944,低价值_抗衰+抗皱_低活跃低频中消费
U00005401,低价值_抗衰+抗皱_低活跃低频中消费
U00005439,低价值_抗衰+抗皱_低活跃低频中消费
U00005515,低价值_抗衰+抗皱_低活跃低频中消费
U00005589,低价值_抗衰+抗皱_低活跃低频中消费
U00005646,低价值_抗衰+抗皱_低活跃低频中消费
U00005944,低价值_抗衰+抗皱_低活跃低频中消费
U00005949,低价值_抗衰+抗皱_低活跃低频中消费
U00005986,低价值_抗衰+抗皱_低活跃低频中消费
U00006088,低价值_抗衰+抗皱_低活跃低频中消费
U00006536,低价值_抗衰+抗皱_低活跃低频中消费
U00006539,低价值_抗衰+抗皱_低活跃低频中消费
U00007028,低价值_抗衰+抗皱_低活跃低频中消费
U00007156,低价值_抗衰+抗皱_低活跃低频中消费
U00007381,低价值_抗衰+抗皱_低活跃低频中消费
