用户ID,cluster_name
U00000103,中价值_抗衰+清爽_中活跃中频高消费
U00000158,中价值_抗衰+清爽_中活跃中频高消费
U00000246,中价值_抗衰+清爽_中活跃中频高消费
U00000274,中价值_抗衰+清爽_中活跃中频高消费
U00000300,中价值_抗衰+清爽_中活跃中频高消费
U00001038,中价值_抗衰+清爽_中活跃中频高消费
U00001309,中价值_抗衰+清爽_中活跃中频高消费
U00001356,中价值_抗衰+清爽_中活跃中频高消费
U00001585,中价值_抗衰+清爽_中活跃中频高消费
U00001795,中价值_抗衰+清爽_中活跃中频高消费
U00001829,中价值_抗衰+清爽_中活跃中频高消费
U00001987,中价值_抗衰+清爽_中活跃中频高消费
U00002033,中价值_抗衰+清爽_中活跃中频高消费
U00002034,中价值_抗衰+清爽_中活跃中频高消费
U00002058,中价值_抗衰+清爽_中活跃中频高消费
U00002398,中价值_抗衰+清爽_中活跃中频高消费
U00002459,中价值_抗衰+清爽_中活跃中频高消费
U00002539,中价值_抗衰+清爽_中活跃中频高消费
U00002738,中价值_抗衰+清爽_中活跃中频高消费
U00002795,中价值_抗衰+清爽_中活跃中频高消费
U00003012,中价值_抗衰+清爽_中活跃中频高消费
U00003104,中价值_抗衰+清爽_中活跃中频高消费
U00003164,中价值_抗衰+清爽_中活跃中频高消费
U00003231,中价值_抗衰+清爽_中活跃中频高消费
U00003312,中价值_抗衰+清爽_中活跃中频高消费
U00003415,中价值_抗衰+清爽_中活跃中频高消费
U00003430,中价值_抗衰+清爽_中活跃中频高消费
U00003482,中价值_抗衰+清爽_中活跃中频高消费
U00003976,中价值_抗衰+清爽_中活跃中频高消费
U00004101,中价值_抗衰+清爽_中活跃中频高消费
U00004156,中价值_抗衰+清爽_中活跃中频高消费
U00004173,中价值_抗衰+清爽_中活跃中频高消费
U00004486,中价值_抗衰+清爽_中活跃中频高消费
U00004515,中价值_抗衰+清爽_中活跃中频高消费
U00004523,中价值_抗衰+清爽_中活跃中频高消费
U00004692,中价值_抗衰+清爽_中活跃中频高消费
U00004777,中价值_抗衰+清爽_中活跃中频高消费
U00004845,中价值_抗衰+清爽_中活跃中频高消费
U00004939,中价值_抗衰+清爽_中活跃中频高消费
U00004947,中价值_抗衰+清爽_中活跃中频高消费
U00004986,中价值_抗衰+清爽_中活跃中频高消费
U00005090,中价值_抗衰+清爽_中活跃中频高消费
U00005103,中价值_抗衰+清爽_中活跃中频高消费
U00005110,中价值_抗衰+清爽_中活跃中频高消费
U00005356,中价值_抗衰+清爽_中活跃中频高消费
U00005702,中价值_抗衰+清爽_中活跃中频高消费
U00006071,中价值_抗衰+清爽_中活跃中频高消费
U00006191,中价值_抗衰+清爽_中活跃中频高消费
U00006203,中价值_抗衰+清爽_中活跃中频高消费
U00006240,中价值_抗衰+清爽_中活跃中频高消费
U00006306,中价值_抗衰+清爽_中活跃中频高消费
U00006385,中价值_抗衰+清爽_中活跃中频高消费
U00006496,中价值_抗衰+清爽_中活跃中频高消费
U00006671,中价值_抗衰+清爽_中活跃中频高消费
U00006751,中价值_抗衰+清爽_中活跃中频高消费
U00006806,中价值_抗衰+清爽_中活跃中频高消费
U00006842,中价值_抗衰+清爽_中活跃中频高消费
U00006856,中价值_抗衰+清爽_中活跃中频高消费
U00006897,中价值_抗衰+清爽_中活跃中频高消费
U00007045,中价值_抗衰+清爽_中活跃中频高消费
U00007068,中价值_抗衰+清爽_中活跃中频高消费
U00007266,中价值_抗衰+清爽_中活跃中频高消费
U00007368,中价值_抗衰+清爽_中活跃中频高消费
U00007569,中价值_抗衰+清爽_中活跃中频高消费
U00007715,中价值_抗衰+清爽_中活跃中频高消费
U00007762,中价值_抗衰+清爽_中活跃中频高消费
U00007826,中价值_抗衰+清爽_中活跃中频高消费
U00007991,中价值_抗衰+清爽_中活跃中频高消费
U00008034,中价值_抗衰+清爽_中活跃中频高消费
U00008117,中价值_抗衰+清爽_中活跃中频高消费
U00008186,中价值_抗衰+清爽_中活跃中频高消费
U00008365,中价值_抗衰+清爽_中活跃中频高消费
U00008448,中价值_抗衰+清爽_中活跃中频高消费
U00008491,中价值_抗衰+清爽_中活跃中频高消费
U00008719,中价值_抗衰+清爽_中活跃中频高消费
U00008866,中价值_抗衰+清爽_中活跃中频高消费
U00008905,中价值_抗衰+清爽_中活跃中频高消费
U00008936,中价值_抗衰+清爽_中活跃中频高消费
U00009119,中价值_抗衰+清爽_中活跃中频高消费
U00009217,中价值_抗衰+清爽_中活跃中频高消费
U00009220,中价值_抗衰+清爽_中活跃中频高消费
U00009338,中价值_抗衰+清爽_中活跃中频高消费
U00009376,中价值_抗衰+清爽_中活跃中频高消费
U00009380,中价值_抗衰+清爽_中活跃中频高消费
U00009565,中价值_抗衰+清爽_中活跃中频高消费
U00009649,中价值_抗衰+清爽_中活跃中频高消费
U00009759,中价值_抗衰+清爽_中活跃中频高消费
U00009899,中价值_抗衰+清爽_中活跃中频高消费
U00009921,中价值_抗衰+清爽_中活跃中频高消费
U00010046,中价值_抗衰+清爽_中活跃中频高消费
U00010424,中价值_抗衰+清爽_中活跃中频高消费
U00010795,中价值_抗衰+清爽_中活跃中频高消费
U00010876,中价值_抗衰+清爽_中活跃中频高消费
U00010914,中价值_抗衰+清爽_中活跃中频高消费
U00010949,中价值_抗衰+清爽_中活跃中频高消费
U00010959,中价值_抗衰+清爽_中活跃中频高消费
U00010993,中价值_抗衰+清爽_中活跃中频高消费
U00011083,中价值_抗衰+清爽_中活跃中频高消费
U00011371,中价值_抗衰+清爽_中活跃中频高消费
U00011469,中价值_抗衰+清爽_中活跃中频高消费
U00011521,中价值_抗衰+清爽_中活跃中频高消费
U00011580,中价值_抗衰+清爽_中活跃中频高消费
U00011827,中价值_抗衰+清爽_中活跃中频高消费
U00011916,中价值_抗衰+清爽_中活跃中频高消费
U00012021,中价值_抗衰+清爽_中活跃中频高消费
U00012099,中价值_抗衰+清爽_中活跃中频高消费
U00012129,中价值_抗衰+清爽_中活跃中频高消费
U00012495,中价值_抗衰+清爽_中活跃中频高消费
U00012628,中价值_抗衰+清爽_中活跃中频高消费
U00012956,中价值_抗衰+清爽_中活跃中频高消费
U00013003,中价值_抗衰+清爽_中活跃中频高消费
U00013219,中价值_抗衰+清爽_中活跃中频高消费
U00013386,中价值_抗衰+清爽_中活跃中频高消费
U00013564,中价值_抗衰+清爽_中活跃中频高消费
U00013610,中价值_抗衰+清爽_中活跃中频高消费
U00013947,中价值_抗衰+清爽_中活跃中频高消费
U00013954,中价值_抗衰+清爽_中活跃中频高消费
U00014125,中价值_抗衰+清爽_中活跃中频高消费
U00014554,中价值_抗衰+清爽_中活跃中频高消费
U00015218,中价值_抗衰+清爽_中活跃中频高消费
U00015257,中价值_抗衰+清爽_中活跃中频高消费
U00015325,中价值_抗衰+清爽_中活跃中频高消费
U00015394,中价值_抗衰+清爽_中活跃中频高消费
U00015576,中价值_抗衰+清爽_中活跃中频高消费
U00015676,中价值_抗衰+清爽_中活跃中频高消费
U00015948,中价值_抗衰+清爽_中活跃中频高消费
U00015995,中价值_抗衰+清爽_中活跃中频高消费
U00016048,中价值_抗衰+清爽_中活跃中频高消费
U00016243,中价值_抗衰+清爽_中活跃中频高消费
U00016376,中价值_抗衰+清爽_中活跃中频高消费
U00016561,中价值_抗衰+清爽_中活跃中频高消费
U00016667,中价值_抗衰+清爽_中活跃中频高消费
U00016765,中价值_抗衰+清爽_中活跃中频高消费
U00016792,中价值_抗衰+清爽_中活跃中频高消费
U00016867,中价值_抗衰+清爽_中活跃中频高消费
U00017269,中价值_抗衰+清爽_中活跃中频高消费
U00017340,中价值_抗衰+清爽_中活跃中频高消费
U00017379,中价值_抗衰+清爽_中活跃中频高消费
U00017654,中价值_抗衰+清爽_中活跃中频高消费
U00017746,中价值_抗衰+清爽_中活跃中频高消费
U00017908,中价值_抗衰+清爽_中活跃中频高消费
U00018129,中价值_抗衰+清爽_中活跃中频高消费
U00018213,中价值_抗衰+清爽_中活跃中频高消费
U00018353,中价值_抗衰+清爽_中活跃中频高消费
U00018552,中价值_抗衰+清爽_中活跃中频高消费
U00018635,中价值_抗衰+清爽_中活跃中频高消费
U00018665,中价值_抗衰+清爽_中活跃中频高消费
U00018995,中价值_抗衰+清爽_中活跃中频高消费
U00019513,中价值_抗衰+清爽_中活跃中频高消费
U00019646,中价值_抗衰+清爽_中活跃中频高消费
U00019658,中价值_抗衰+清爽_中活跃中频高消费
U00019929,中价值_抗衰+清爽_中活跃中频高消费
U00020001,中价值_抗衰+清爽_中活跃中频高消费
U00020263,中价值_抗衰+清爽_中活跃中频高消费
U00020332,中价值_抗衰+清爽_中活跃中频高消费
U00020495,中价值_抗衰+清爽_中活跃中频高消费
U00020507,中价值_抗衰+清爽_中活跃中频高消费
U00020561,中价值_抗衰+清爽_中活跃中频高消费
U00020563,中价值_抗衰+清爽_中活跃中频高消费
U00020895,中价值_抗衰+清爽_中活跃中频高消费
U00021111,中价值_抗衰+清爽_中活跃中频高消费
U00021113,中价值_抗衰+清爽_中活跃中频高消费
U00021384,中价值_抗衰+清爽_中活跃中频高消费
U00021389,中价值_抗衰+清爽_中活跃中频高消费
U00021525,中价值_抗衰+清爽_中活跃中频高消费
U00021583,中价值_抗衰+清爽_中活跃中频高消费
U00021592,中价值_抗衰+清爽_中活跃中频高消费
U00021596,中价值_抗衰+清爽_中活跃中频高消费
U00021615,中价值_抗衰+清爽_中活跃中频高消费
U00021642,中价值_抗衰+清爽_中活跃中频高消费
U00021708,中价值_抗衰+清爽_中活跃中频高消费
U00021738,中价值_抗衰+清爽_中活跃中频高消费
U00021766,中价值_抗衰+清爽_中活跃中频高消费
U00021832,中价值_抗衰+清爽_中活跃中频高消费
U00021886,中价值_抗衰+清爽_中活跃中频高消费
U00021950,中价值_抗衰+清爽_中活跃中频高消费
U00022134,中价值_抗衰+清爽_中活跃中频高消费
U00022372,中价值_抗衰+清爽_中活跃中频高消费
U00022409,中价值_抗衰+清爽_中活跃中频高消费
U00022464,中价值_抗衰+清爽_中活跃中频高消费
U00022566,中价值_抗衰+清爽_中活跃中频高消费
U00022605,中价值_抗衰+清爽_中活跃中频高消费
U00022648,中价值_抗衰+清爽_中活跃中频高消费
U00022715,中价值_抗衰+清爽_中活跃中频高消费
U00022821,中价值_抗衰+清爽_中活跃中频高消费
U00022931,中价值_抗衰+清爽_中活跃中频高消费
U00023055,中价值_抗衰+清爽_中活跃中频高消费
U00023195,中价值_抗衰+清爽_中活跃中频高消费
U00023222,中价值_抗衰+清爽_中活跃中频高消费
U00023265,中价值_抗衰+清爽_中活跃中频高消费
U00023467,中价值_抗衰+清爽_中活跃中频高消费
U00023686,中价值_抗衰+清爽_中活跃中频高消费
U00023748,中价值_抗衰+清爽_中活跃中频高消费
U00023893,中价值_抗衰+清爽_中活跃中频高消费
U00024071,中价值_抗衰+清爽_中活跃中频高消费
U00024210,中价值_抗衰+清爽_中活跃中频高消费
U00024221,中价值_抗衰+清爽_中活跃中频高消费
U00024493,中价值_抗衰+清爽_中活跃中频高消费
U00024511,中价值_抗衰+清爽_中活跃中频高消费
U00024892,中价值_抗衰+清爽_中活跃中频高消费
U00024934,中价值_抗衰+清爽_中活跃中频高消费
U00024989,中价值_抗衰+清爽_中活跃中频高消费
U00024996,中价值_抗衰+清爽_中活跃中频高消费
U00025014,中价值_抗衰+清爽_中活跃中频高消费
U00025070,中价值_抗衰+清爽_中活跃中频高消费
U00025101,中价值_抗衰+清爽_中活跃中频高消费
U00025185,中价值_抗衰+清爽_中活跃中频高消费
U00025308,中价值_抗衰+清爽_中活跃中频高消费
U00025453,中价值_抗衰+清爽_中活跃中频高消费
U00025538,中价值_抗衰+清爽_中活跃中频高消费
U00025603,中价值_抗衰+清爽_中活跃中频高消费
U00025606,中价值_抗衰+清爽_中活跃中频高消费
U00025670,中价值_抗衰+清爽_中活跃中频高消费
U00025761,中价值_抗衰+清爽_中活跃中频高消费
U00025941,中价值_抗衰+清爽_中活跃中频高消费
U00025968,中价值_抗衰+清爽_中活跃中频高消费
U00026152,中价值_抗衰+清爽_中活跃中频高消费
U00026334,中价值_抗衰+清爽_中活跃中频高消费
U00026526,中价值_抗衰+清爽_中活跃中频高消费
U00026716,中价值_抗衰+清爽_中活跃中频高消费
U00026725,中价值_抗衰+清爽_中活跃中频高消费
U00026754,中价值_抗衰+清爽_中活跃中频高消费
U00026855,中价值_抗衰+清爽_中活跃中频高消费
U00026986,中价值_抗衰+清爽_中活跃中频高消费
U00027004,中价值_抗衰+清爽_中活跃中频高消费
U00027268,中价值_抗衰+清爽_中活跃中频高消费
U00027485,中价值_抗衰+清爽_中活跃中频高消费
U00027720,中价值_抗衰+清爽_中活跃中频高消费
U00027931,中价值_抗衰+清爽_中活跃中频高消费
U00028136,中价值_抗衰+清爽_中活跃中频高消费
U00028159,中价值_抗衰+清爽_中活跃中频高消费
U00028408,中价值_抗衰+清爽_中活跃中频高消费
U00028459,中价值_抗衰+清爽_中活跃中频高消费
U00028529,中价值_抗衰+清爽_中活跃中频高消费
U00028532,中价值_抗衰+清爽_中活跃中频高消费
U00028671,中价值_抗衰+清爽_中活跃中频高消费
U00028681,中价值_抗衰+清爽_中活跃中频高消费
U00028694,中价值_抗衰+清爽_中活跃中频高消费
U00028790,中价值_抗衰+清爽_中活跃中频高消费
U00028861,中价值_抗衰+清爽_中活跃中频高消费
U00028974,中价值_抗衰+清爽_中活跃中频高消费
U00029051,中价值_抗衰+清爽_中活跃中频高消费
U00029074,中价值_抗衰+清爽_中活跃中频高消费
U00029185,中价值_抗衰+清爽_中活跃中频高消费
U00029225,中价值_抗衰+清爽_中活跃中频高消费
U00029773,中价值_抗衰+清爽_中活跃中频高消费
U00030067,中价值_抗衰+清爽_中活跃中频高消费
U00030140,中价值_抗衰+清爽_中活跃中频高消费
U00030176,中价值_抗衰+清爽_中活跃中频高消费
U00030252,中价值_抗衰+清爽_中活跃中频高消费
U00030492,中价值_抗衰+清爽_中活跃中频高消费
U00030514,中价值_抗衰+清爽_中活跃中频高消费
U00030686,中价值_抗衰+清爽_中活跃中频高消费
U00030791,中价值_抗衰+清爽_中活跃中频高消费
U00031027,中价值_抗衰+清爽_中活跃中频高消费
U00031720,中价值_抗衰+清爽_中活跃中频高消费
U00031894,中价值_抗衰+清爽_中活跃中频高消费
U00031962,中价值_抗衰+清爽_中活跃中频高消费
U00031972,中价值_抗衰+清爽_中活跃中频高消费
U00032213,中价值_抗衰+清爽_中活跃中频高消费
U00032249,中价值_抗衰+清爽_中活跃中频高消费
U00032358,中价值_抗衰+清爽_中活跃中频高消费
U00032366,中价值_抗衰+清爽_中活跃中频高消费
U00032633,中价值_抗衰+清爽_中活跃中频高消费
U00032711,中价值_抗衰+清爽_中活跃中频高消费
U00032831,中价值_抗衰+清爽_中活跃中频高消费
U00032932,中价值_抗衰+清爽_中活跃中频高消费
U00033241,中价值_抗衰+清爽_中活跃中频高消费
U00033374,中价值_抗衰+清爽_中活跃中频高消费
U00033517,中价值_抗衰+清爽_中活跃中频高消费
U00033617,中价值_抗衰+清爽_中活跃中频高消费
U00033768,中价值_抗衰+清爽_中活跃中频高消费
U00033872,中价值_抗衰+清爽_中活跃中频高消费
U00034009,中价值_抗衰+清爽_中活跃中频高消费
U00034248,中价值_抗衰+清爽_中活跃中频高消费
U00034424,中价值_抗衰+清爽_中活跃中频高消费
U00034530,中价值_抗衰+清爽_中活跃中频高消费
U00034977,中价值_抗衰+清爽_中活跃中频高消费
U00035021,中价值_抗衰+清爽_中活跃中频高消费
U00035077,中价值_抗衰+清爽_中活跃中频高消费
U00035120,中价值_抗衰+清爽_中活跃中频高消费
U00035238,中价值_抗衰+清爽_中活跃中频高消费
U00035421,中价值_抗衰+清爽_中活跃中频高消费
U00035428,中价值_抗衰+清爽_中活跃中频高消费
U00035542,中价值_抗衰+清爽_中活跃中频高消费
U00035571,中价值_抗衰+清爽_中活跃中频高消费
U00036411,中价值_抗衰+清爽_中活跃中频高消费
U00036439,中价值_抗衰+清爽_中活跃中频高消费
U00036459,中价值_抗衰+清爽_中活跃中频高消费
U00036570,中价值_抗衰+清爽_中活跃中频高消费
U00036775,中价值_抗衰+清爽_中活跃中频高消费
U00036975,中价值_抗衰+清爽_中活跃中频高消费
U00036980,中价值_抗衰+清爽_中活跃中频高消费
U00037027,中价值_抗衰+清爽_中活跃中频高消费
U00037109,中价值_抗衰+清爽_中活跃中频高消费
U00037312,中价值_抗衰+清爽_中活跃中频高消费
U00037322,中价值_抗衰+清爽_中活跃中频高消费
U00037333,中价值_抗衰+清爽_中活跃中频高消费
U00037337,中价值_抗衰+清爽_中活跃中频高消费
U00037584,中价值_抗衰+清爽_中活跃中频高消费
U00037586,中价值_抗衰+清爽_中活跃中频高消费
U00037968,中价值_抗衰+清爽_中活跃中频高消费
U00038022,中价值_抗衰+清爽_中活跃中频高消费
U00038217,中价值_抗衰+清爽_中活跃中频高消费
U00038309,中价值_抗衰+清爽_中活跃中频高消费
U00038440,中价值_抗衰+清爽_中活跃中频高消费
U00038550,中价值_抗衰+清爽_中活跃中频高消费
U00038615,中价值_抗衰+清爽_中活跃中频高消费
U00038680,中价值_抗衰+清爽_中活跃中频高消费
U00038697,中价值_抗衰+清爽_中活跃中频高消费
U00038753,中价值_抗衰+清爽_中活跃中频高消费
U00039038,中价值_抗衰+清爽_中活跃中频高消费
U00039058,中价值_抗衰+清爽_中活跃中频高消费
U00039081,中价值_抗衰+清爽_中活跃中频高消费
U00039260,中价值_抗衰+清爽_中活跃中频高消费
U00039353,中价值_抗衰+清爽_中活跃中频高消费
U00039516,中价值_抗衰+清爽_中活跃中频高消费
U00039539,中价值_抗衰+清爽_中活跃中频高消费
U00039542,中价值_抗衰+清爽_中活跃中频高消费
U00039580,中价值_抗衰+清爽_中活跃中频高消费
U00039691,中价值_抗衰+清爽_中活跃中频高消费
