常用省份,商品名称,购买数量,占比,预测销量_未来7天,建议补货量
上海,云朵防晒霜,443,0.06349206349206349,393.9,25.009523809523806
上海,净颜洗面奶,285,0.1,6.1,0.61
上海,双抗小夜灯眼霜,414,0.19819819819819817,74.0,14.666666666666664
上海,双抗水乳套装,814,0.05185185185185187,819.9,42.51333333333335
上海,双抗精华3.0,443,0.16521739130434782,523.6,86.50782608695653
上海,双抗精华水,239,0.1,209.2,20.92
上海,水动力氨基酸洁面乳,246,0.1,157.1,15.71
上海,源力面霜2.0,439,0.15189873417721517,272.3,41.36202531645569
上海,神经酰胺涂抹面膜,466,0.04477611940298508,1.7,0.07611940298507464
上海,红宝石冰陀螺眼霜,364,0.15503875968992248,322.2,49.95348837209302
上海,红宝石抗皱面霜3.0,404,0.1264367816091954,167.5,21.17816091954023
上海,红宝石活肤乳2.0,426,0.12328767123287669,177.7,21.908219178082188
上海,红宝石精华3.0,496,0.17500000000000002,486.2,85.08500000000001
上海,至简密护安瓶精华液,472,0.16,3.7,0.5920000000000001
上海,赋能鲜颜淡纹紧致活肤水,226,0.1,4.0,0.4
北京,云朵防晒霜,582,0.04761904761904761,393.9,18.757142857142853
北京,净颜洗面奶,267,0.1,6.1,0.61
北京,双抗小夜灯眼霜,497,0.09909909909909909,74.0,7.333333333333332
北京,双抗水乳套装,888,0.03703703703703705,819.9,30.366666666666674
北京,双抗精华3.0,603,0.1043478260869565,523.6,54.63652173913043
北京,双抗精华水,248,0.1,209.2,20.92
北京,水动力氨基酸洁面乳,319,0.1,157.1,15.71
北京,源力面霜2.0,432,0.11392405063291139,272.3,31.02151898734177
北京,神经酰胺涂抹面膜,525,0.02985074626865672,1.7,0.05074626865671642
北京,红宝石冰陀螺眼霜,525,0.19379844961240308,322.2,62.44186046511627
北京,红宝石抗皱面霜3.0,500,0.3218390804597701,167.5,53.9080459770115
北京,红宝石活肤乳2.0,520,0.2602739726027397,177.7,46.25068493150685
北京,红宝石精华3.0,576,0.325,486.2,158.01500000000001
北京,至简密护安瓶精华液,580,0.12,3.7,0.444
北京,赋能鲜颜淡纹紧致活肤水,283,0.1,4.0,0.4
四川,云朵防晒霜,363,0.08730158730158728,393.9,34.38809523809523
四川,净颜洗面奶,143,0.1,6.1,0.61
四川,双抗小夜灯眼霜,278,0.05405405405405405,74.0,3.9999999999999996
四川,双抗水乳套装,562,0.13333333333333336,819.9,109.32000000000002
四川,双抗精华3.0,358,0.0608695652173913,523.6,31.871304347826086
四川,双抗精华水,161,0.1,209.2,20.92
四川,水动力氨基酸洁面乳,159,0.1,157.1,15.71
四川,源力面霜2.0,266,0.06329113924050633,272.3,17.234177215189874
四川,神经酰胺涂抹面膜,334,0.16417910447761197,1.7,0.27910447761194035
四川,红宝石冰陀螺眼霜,273,0.06201550387596899,322.2,19.981395348837207
四川,红宝石抗皱面霜3.0,321,0.045977011494252866,167.5,7.701149425287355
四川,红宝石活肤乳2.0,306,0.0684931506849315,177.7,12.171232876712327
四川,红宝石精华3.0,369,0.0375,486.2,18.232499999999998
四川,至简密护安瓶精华液,331,0.12,3.7,0.444
四川,赋能鲜颜淡纹紧致活肤水,167,0.1,4.0,0.4
山东,云朵防晒霜,381,0.1349206349206349,393.9,53.14523809523809
山东,净颜洗面奶,227,0.1,6.1,0.61
山东,双抗小夜灯眼霜,324,0.07207207207207207,74.0,5.333333333333333
山东,双抗水乳套装,708,0.11851851851851855,819.9,97.17333333333336
山东,双抗精华3.0,447,0.07826086956521738,523.6,40.977391304347826
山东,双抗精华水,214,0.1,209.2,20.92
山东,水动力氨基酸洁面乳,182,0.1,157.1,15.71
山东,源力面霜2.0,374,0.08860759493670886,272.3,24.127848101265823
山东,神经酰胺涂抹面膜,393,0.14179104477611942,1.7,0.241044776119403
山东,红宝石冰陀螺眼霜,325,0.07751937984496124,322.2,24.97674418604651
山东,红宝石抗皱面霜3.0,363,0.0689655172413793,167.5,11.551724137931032
山东,红宝石活肤乳2.0,361,0.0958904109589041,177.7,17.039726027397258
山东,红宝石精华3.0,422,0.0625,486.2,30.3875
山东,至简密护安瓶精华液,417,0.08,3.7,0.29600000000000004
山东,赋能鲜颜淡纹紧致活肤水,236,0.1,4.0,0.4
广东,云朵防晒霜,848,0.23809523809523805,393.9,93.78571428571426
广东,净颜洗面奶,385,0.1,6.1,0.61
