省份,云朵防晒霜,净颜洗面奶,双抗小夜灯眼霜,双抗水乳套装,双抗精华3.0,双抗精华水,水动力氨基酸洁面乳,源力面霜2.0,神经酰胺涂抹面膜,红宝石冰陀螺眼霜,红宝石精华3.0,红宝石活肤乳2.0,红宝石抗皱面霜3.0,至简密护安瓶精华液,赋能鲜颜淡纹紧致活水
上海,1.05,1.38,2.08,0.99,1.88,1.91,1.30,1.03,0.97,1.97,1.24,1.38,1.88,1.86,1.15
北京,0.51,0.90,1.79,1.15,0.82,0.78,1.28,0.96,1.25,1.75,1.33,0.85,2.48,0.93,0.91
四川,0.81,1.22,1.18,1.35,1.45,1.56,1.29,0.73,2.66,1.25,0.68,1.01,0.87,1.18,1.07
山东,0.81,0.90,1.12,1.69,0.98,0.92,0.85,1.46,1.04,0.93,1.05,0.95,0.87,0.63,1.38
广东,2.77,0.79,1.13,1.16,1.82,1.84,0.91,0.65,1.39,0.84,0.59,0.90,1.09,0.92,0.92
江苏,1.05,0.98,0.86,1.82,1.15,1.22,0.77,1.13,1.03,0.86,0.92,1.05,1.24,1.24,1.48
河南,1.25,1.09,0.45,2.01,0.85,1.42,1.61,1.16,0.94,0.52,0.97,1.12,0.77,0.46,1.45
浙江,0.95,1.09,1.49,1.73,2.23,2.25,1.39,0.92,1.32,1.45,1.17,1.35,0.94,0.93,0.97
湖北,1.21,1.08,1.06,1.08,1.44,1.36,1.01,1.30,1.14,1.00,1.37,1.18,1.40,1.42,1.23
湖南,1.08,1.18,1.17,0.85,1.49,1.45,1.84,1.03,2.26,1.20,0.64,1.09,1.18,1.23,1.27
