,销量波动系数,敏感型占比,区域集中度,时间集中度,综合风险分,风险等级
神经酰胺涂抹面膜,0.99,0.141736266,0.600808703,0.94639767,0.66973566,高风险
至简密护安瓶精华液,0.418073912,0.99,0.491703126,0.467822606,0.591899911,中风险
红宝石精华3.0,0.654080103,0.836544361,0.269344514,0.546269255,0.576559558,中风险
双抗水乳套装,0.362562348,0.752653246,0.042007398,0.99,0.536805748,中风险
双抗精华3.0,0.322371548,0.809100368,0.431364202,0.333908978,0.474186274,中风险
云朵防晒霜,0.817970611,0.079648827,0.01,0.938068561,0.461422,中风险
赋能鲜颜淡纹紧致活肤水,0.154005187,0.532825803,0.99,0.03436821,0.4277998,中风险
双抗精华水,0.385690866,0.718247692,0.416952698,0.119859719,0.410187744,中风险
红宝石活肤乳2.0,0.485243622,0.265757726,0.580776308,0.155243653,0.371755327,中风险
双抗小夜灯眼霜,0.01,0.764127599,0.322392123,0.175840956,0.31809017,低风险
水动力洁面乳,0.2111515,0.522917787,0.09987869,0.297723651,0.282917907,低风险
源力面霜2.0,0.324023848,0.426059492,0.305869503,0.070458323,0.281602791,低风险
红宝石抗皱面霜3.0,0.400601614,0.312012774,0.14895016,0.196766636,0.264582796,低风险
水动力氨基酸洁面乳,0.01,0.320964562,0.184085611,0.485219525,0.250067424,低风险
红宝石冰陀螺眼霜,0.258167393,0.231344896,0.058181532,0.01,0.139423455,低风险
净颜洗面奶,0.075375386,0.01,0.340077149,0.126142856,0.137898848,低风险
