商品名称,预测销量_未来7天,单价,补货优先级得分
双抗水乳套装,819.9,455.2198181674441,373234.7289154874
双抗精华3.0,523.6,444.30223346917313,232636.64944445906
红宝石精华3.0,486.2,347.1250315519622,168772.190340564
红宝石冰陀螺眼霜,322.2,326.26525891693325,105122.66642303589
源力面霜2.0,272.3,286.6214384432089,78047.01768808578
云朵防晒霜,393.9,157.70479132555886,62119.917303137634
红宝石抗皱面霜3.0,167.5,306.4685935030035,51333.489411753086
红宝石活肤乳2.0,177.7,266.80589032471835,47411.406710702446
双抗精华水,209.2,187.42585861321777,39209.48962188516
双抗小夜灯眼霜,74.0,256.8429785137,19006.3804100138
水动力氨基酸洁面乳,157.1,78.35903696695276,12310.204707508277
至简密护安瓶精华液,3.7,425.46368486029894,1574.215633983106
水动力洁面乳,5.4,150.0,810.0
赋能鲜颜淡纹紧致活肤水,4.0,196.3770562713647,785.5082250854588
净颜洗面奶,6.1,88.27711995249406,538.4904317102138
神经酰胺涂抹面膜,1.7,157.69064651553316,268.07409907640636
