实际销量,预测销量
92,67.51688
73,73.1678
53,48.91318
94,77.413925
52,43.904797
76,100.585175
94,95.090935
155,161.21019
79,83.14915
108,92.15322
73,77.578384
56,47.594254
86,86.47997
66,41.230927
89,95.780846
85,89.67165
43,44.424076
97,76.76226
75,74.33837
39,46.107216
53,78.769684
68,76.62782
40,44.933514
139,157.10724
75,69.681435
35,39.10865
77,92.726166
83,82.02878
107,88.93879
92,91.4945
84,90.29435
90,74.52883
95,85.99809
54,50.548603
91,84.891525
33,45.097137
82,87.33559
57,72.13469
147,152.31007
80,69.58142
41,43.983112
64,75.026375
54,55.28177
57,81.00501
61,80.300224
36,39.221943
114,86.40335
80,66.32158
56,60.798767
76,73.73336
81,80.22757
34,41.460526
150,147.90883
43,43.777958
26,50.07101
100,87.86511
93,88.20464
77,76.601234
75,71.089096
90,80.030716
55,51.371746
88,86.628426
71,77.33681
77,67.83648
72,85.58698
127,148.01602
33,41.470413
47,48.06626
82,73.73621
76,69.71891
56,49.793316
87,93.867096
72,70.664314
78,85.285446
66,74.75075
78,87.32042
81,90.63954
48,42.794365
93,93.819176
49,42.79859
83,78.85354
69,74.90248
89,88.7074
80,81.14468
137,132.29349
106,81.23702
74,72.48198
82,70.42328
37,42.28032
45,45.20041
87,76.466774
66,68.546585
180,143.34935
50,47.28412
82,85.27945
93,91.96814
90,82.00363
87,73.485954
83,86.932495
74,78.335686
91,80.62786
40,46.456223
44,42.733044
39,37.625893
101,97.428215
76,73.07923
42,46.0369
97,93.55104
152,149.20926
54,42.8173
110,90.353455
77,72.40488
47,39.928406
72,76.3231
91,81.33924
76,70.99919
35,39.6115
92,86.94947
91,95.12424
83,83.587494
96,90.06737
46,46.81672
47,45.74047
28,45.818165
68,72.39238
82,71.05623
85,84.226715
91,92.009796
71,75.20477
80,84.73346
51,37.980694
136,150.0433
87,86.63656
88,82.38393
58,72.673355
62,45.76785
150,124.865974
144,107.76846
140,110.91829
126,94.23905
145,111.82412
194,162.54391
85,55.749863
149,105.224396
99,80.85801
190,161.05417
272,191.75623
71,49.92542
176,133.83284
187,138.76022
154,123.6205
296,173.69296
148,111.460434
82,55.01297
154,133.03644
175,142.48863
148,108.869705
177,129.00177
162,127.23175
101,92.06354
209,165.4292
86,43.551044
165,131.03185
151,135.48827
103,97.874954
198,151.78105
185,150.665
107,96.86646
305,197.10101
182,173.62411
78,55.779915
161,124.42032
198,149.25226
91,94.99782
73,55.76078
158,136.982
193,146.87965
134,140.24446
152,122.97773
216,148.67575
87,74.46453
148,106.4426
313,198.88803
94,81.144844
186,179.82457
187,173.75629
148,146.95079
192,174.27554
154,132.26837
180,169.02924
187,171.56494
88,100.73394
80,85.84992
142,126.18252
178,167.10033
167,141.20189
185,187.15817
72,90.85063
208,181.70381
74,69.95602
179,181.73227
90,96.24719
331,262.5332
83,82.1593
178,177.17183
191,181.99496
127,148.68756
174,181.34967
154,144.52446
166,145.01393
137,144.1004
181,169.33655
91,96.49971
166,146.90042
166,164.21037
181,168.86653
299,360.31403
160,155.6946
158,145.33781
191,177.91257
103,86.666626
157,167.94641
181,168.83649
98,87.6025
80,75.679504
142,151.19716
176,158.56514
167,153.72403
86,80.595894
75,93.01609
137,159.43118
170,168.16
86,77.29569
147,145.29689
176,209.66121
198,166.61974
292,271.09268
127,154.94145
87,90.140854
166,159.42622
132,130.10733
170,163.39932
177,166.1562
264,282.98538
119,132.70064
156,195.2574
118,143.0321
78,90.54377
80,85.03218
157,144.4207
186,149.0057
151,148.25128
150,151.61313
111,88.25138
71,69.31923
188,161.98087
294,274.64685
166,122.1348
180,154.7571
140,146.94109
187,145.3757
91,81.515114
202,159.55981
70,78.42157
104,84.51367
172,114.847336
129,131.34888
189,159.53403
101,79.07009
171,151.66173
174,142.97197
188,143.71956
207,141.75209
354,274.32678
151,132.41602
194,124.80034
191,155.67232
153,147.12708
79,81.497955
147,131.345
89,81.80981
199,155.65192
83,77.363884
144,140.75436
103,86.41502
158,148.16188
185,148.89867
338,387.8088
157,142.64145
87,87.48831
213,158.70511
170,157.04253
165,154.6157
88,85.61303
152,144.73784
169,133.39903
185,149.48523
82,79.76235
173,158.14502
76,80.277565
200,141.7127
298,346.8997
98,94.46674
122,148.69388
101,85.34685
98,83.18344
187,158.58719
174,163.25822
201,151.49228
142,135.99689
150,136.88405
156,160.79059
172,145.73003
93,88.62085
152,146.71094
154,142.35252
121,88.71005
278,264.36914
106,94.298775
152,147.46872
185,146.69466
191,151.90366
153,155.33586
141,155.8719
160,143.08139
102,76.53801
162,157.92224
181,158.33553
81,80.03155
152,141.00734
302,252.54005
72,84.97567
120,141.02913
178,158.4805
91,79.15941
98,89.22501
81,80.74446
140,145.78955
192,200.84587
183,154.3285
141,143.77644
160,148.49501
148,146.68794
185,145.98228
169,157.78217
104,90.34613
200,158.50502
110,91.34892
77,95.82198
166,147.45126
201,157.67406
183,159.20987
91,77.56035
188,163.15083
218,195.98497
173,196.27539
174,135.43536
152,148.06618
319,252.22011
190,149.48761
156,140.09941
109,86.93702
146,145.91168
126,145.59676
75,77.12183
183,153.33662
172,149.71057
169,154.9861
166,151.20232
162,139.10687
169,148.6815
326,352.20312
80,76.730705
144,145.58817
84,84.141266
178,142.54645
150,147.97908
161,142.82985
176,153.73582
179,156.27074
138,143.25417
161,137.06958
96,78.29301
194,143.77834
147,144.77588
173,142.78282
84,84.763084
81,86.55825
94,87.31333
242,364.4626
203,153.36604
106,74.39259
130,145.72588
193,153.6069
155,156.16383
182,147.38852
88,90.54477
156,150.05861
169,154.2566
294,277.03577
144,151.55167
170,158.0586
74,81.53028
87,87.59017
161,142.29308
189,141.76378
172,156.532
209,163.20787
177,157.59627
149,146.15402
154,145.28682
86,86.563446
175,151.66675
165,140.33809
142,151.73785
88,89.899666
365,262.79666
97,88.71421
88,79.91891
239,141.06754
88,83.03858
205,142.75085
124,140.45102
189,156.78474
187,157.2637
83,94.70685
263,384.51877
171,153.15385
86,76.58109
200,158.32957
156,151.27415
115,86.530464
164,147.89111
150,143.4144
200,153.8753
184,156.3543
159,141.81589
118,79.2796
91,84.0699
152,137.5143
184,191.66759
189,191.77216
165,143.1254
140,149.15619
184,157.89908
194,184.91644
156,153.47806
93,92.33951
101,85.28825
281,251.08589
88,90.26675
116,88.7593
192,145.49776
133,145.63887
67,75.99883
144,152.14566
95,86.29211
194,201.35455
125,138.92973
160,145.75813
167,193.80998
181,157.62065
163,147.72205
190,142.74097
282,247.93913
47,76.02063
69,127.16034
82,131.95966
108,163.63515
69,113.74398
89,146.01706
107,161.87192
46,65.2586
96,154.53685
179,274.61743
86,154.09988
100,144.86938
75,142.18018
53,97.26742
41,69.81382
105,110.82761
78,74.82036
80,154.429
108,102.864044
69,71.30497
122,138.10612
95,112.25853
148,255.82689
38,97.18814
46,104.77444
91,98.77439
86,80.88007
45,103.267456
97,135.29604
39,93.054184
84,128.0874
93,118.13143
53,93.45599
78,108.37427
87,146.78944
175,262.39758
77,73.472496
90,145.9055
63,104.64849
118,129.99347
80,140.11284
39,92.221054
48,91.21618
105,107.1835
55,54.01786
78,136.32207
50,101.11618
54,91.08539
96,128.96472
63,93.52863
38,103.6443
125,109.37016
89,112.68318
62,103.27997
106,101.09023
69,70.237465
94,104.27159
74,130.38893
156,251.36809
89,106.379395
90,89.56531
80,90.70349
105,103.14121
71,94.60732
69,109.82852
78,115.24596
70,85.22547
52,108.50175
42,50.220642
109,133.12607
52,78.21948
82,78.46166
135,223.71997
101,134.98691
38,100.57844
86,103.06021
98,91.788086
78,75.08519
50,49.827183
109,106.68814
80,109.59534
135,162.73529
74,76.57267
91,79.43887
84,115.15971
80,92.8606
51,47.798317
67,91.760826
63,42.415176
26,79.614136
75,75.42503
77,76.23263
72,80.314804
91,91.28943
53,43.397614
39,38.651188
96,86.72145
66,81.51683
36,47.704987
102,97.19333
90,80.053795
44,43.47473
91,80.97991
108,103.89946
133,144.1388
103,73.70744
45,49.996128
66,87.54692
94,90.475365
76,76.55624
51,41.36134
62,77.853485
96,90.42814
31,45.985092
73,76.33571
129,135.83875
47,42.828144
68,76.2518
87,77.00231
78,86.405014
27,38.169594
68,70.61216
71,71.893295
95,85.42665
45,48.984695
52,42.93695
105,92.02608
160,140.90326
100,77.56071
82,97.77574
45,50.54713
71,75.983284
73,72.98941
102,87.74573
103,98.93309
87,84.017944
69,78.57345
62,70.461624
81,100.08283
72,81.20058
108,94.3078
52,47.00027
34,43.727333
68,44.45094
101,83.72797
84,73.827415
84,82.20023
156,146.17058
51,43.02289
73,93.37227
86,99.55545
53,47.207996
183,148.93643
39,49.002647
86,80.690315
76,86.91307
102,92.163055
89,84.95708
88,96.86224
82,90.16746
45,42.47743
77,79.18799
70,76.00276
111,89.25388
39,42.379555
93,95.94945
84,84.663445
42,43.97475
45,52.872566
88,99.314804
37,40.82767
54,45.300922
68,75.78704
78,92.87209
83,84.1116
87,77.77319
85,90.190346
76,74.25627
157,150.76994
105,95.094086
32,40.039177
