用户ID,R评分,F评分,M评分,抗衰,修护,抗氧化,清爽,抗皱,保湿,cluster,cluster_name
U00000093,2,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000103,5,2,3,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00000108,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000109,5,5,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000112,2,2,4,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000131,4,3,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000134,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000158,1,3,4,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00000163,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000240,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000246,2,2,3,1,0,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00000271,4,3,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000274,2,2,4,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00000277,4,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00000286,4,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000288,2,2,4,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000295,2,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000300,2,4,5,1,1,0,1,1,1,9,中价值_抗衰+清爽_中活跃中频高消费
U00000320,5,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000342,2,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000354,4,3,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000373,3,3,3,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
U00000378,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000382,5,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000394,1,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000405,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000412,4,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000413,2,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00000418,2,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000458,2,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000461,1,2,3,0,1,0,0,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00000462,3,4,5,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000476,1,3,4,1,1,1,1,1,1,3,中价值_抗衰+修护_低活跃中频高消费
U00000484,4,2,1,0,0,0,1,0,1,1,低价值_保湿+修护_低活跃低频低消费
U00000496,2,4,5,1,0,1,1,1,1,8,中价值_抗衰+抗氧化_中活跃中频高消费
U00000504,4,2,2,1,0,0,0,1,0,7,低价值_抗衰+抗皱_低活跃低频中消费
U00000508,5,4,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000518,1,3,3,0,0,1,1,0,0,6,低价值_抗氧化+清爽_低活跃低频中消费
U00000532,2,3,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000536,4,4,4,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000548,5,4,5,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000552,5,5,5,1,1,1,1,1,1,0,高价值_抗衰+修护_高活跃高频高消费
U00000553,1,2,3,0,1,1,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000560,2,3,5,0,1,0,1,0,1,5,中价值_清爽+保湿_中活跃中频高消费
U00000567,5,2,3,1,1,0,0,1,1,2,中价值_修护+保湿_中活跃中频高消费
U00000572,2,4,5,1,0,1,1,1,0,4,中价值_抗衰+抗氧化_中活跃中频高消费
