用户ID,ITE,客户类型
U00027921,0.2652129432983507,敏感型
U00022512,0.2571004314706016,敏感型
U00061713,0.2217361428708236,敏感型
U00077419,0.21131650090323179,敏感型
U00049791,0.21021330593567866,敏感型
U00042975,0.20827932418512363,敏感型
U00005424,0.20655131269230081,敏感型
U00040567,0.2047799963414989,敏感型
U00018018,0.20152265270596786,敏感型
U00033958,0.19682604100853685,敏感型
U00058577,0.19571819978657318,敏感型
U00093017,0.19568663534379493,敏感型
U00034744,0.1938438745358894,敏感型
U00048495,0.19193608011711716,敏感型
U00035472,0.1894969536289574,敏感型
U00064840,0.18854045987044782,敏感型
U00072680,0.1867753744569759,敏感型
U00091455,0.18631374784103438,敏感型
U00072605,0.18618113167955924,敏感型
U00015126,0.18563336569931724,敏感型
U00051577,0.1849888967642066,敏感型
U00047759,0.18478979650419408,敏感型
U00065104,0.18439779965099676,敏感型
U00073623,0.1841850077392974,敏感型
U00013247,0.1833751885452779,敏感型
U00028386,0.18313088722231619,敏感型
U00023409,0.1828137157432188,敏感型
U00057350,0.18124418059893604,敏感型
U00064466,0.18093942330877627,敏感型
U00067964,0.18065568204643756,敏感型
U00038724,0.18050151489985206,敏感型
U00016910,0.18048237350113747,敏感型
U00082978,0.17989239681498537,敏感型
U00053264,0.1797572361917782,敏感型
U00030465,0.17952843042647565,敏感型
U00055384,0.17910894943056477,敏感型
U00026184,0.17895716298552683,敏感型
U00043604,0.17832878358070992,敏感型
U00089909,0.17792328208612113,敏感型
U00092818,0.17741843802672014,敏感型
U00089615,0.17731375440319067,敏感型
U00049429,0.17731375440319067,敏感型
U00045015,0.1772759742701598,敏感型
U00097045,0.17696112240075818,敏感型
U00002811,0.1760423034409337,敏感型
U00068355,0.17586605571959374,敏感型
U00097913,0.17554762867443363,敏感型
U00092067,0.17554564999973282,敏感型
U00042238,0.17553518952470537,敏感型
U00034786,0.17551589453337973,敏感型
U00082881,0.17543914315101883,敏感型
U00081874,0.17542953449351062,敏感型
U00051153,0.17515350033569066,敏感型
U00011208,0.17513231197221085,敏感型
U00078908,0.17494167442708974,敏感型
U00072711,0.17459617362021929,敏感型
U00093918,0.17450592007528143,敏感型
U00010362,0.1740562885765718,敏感型
U00079169,0.17388470609340828,敏感型
U00096094,0.17376902097676478,敏感型
U00034193,0.17363779876466495,敏感型
U00022470,0.1735594620771116,敏感型
U00017411,0.17310128502327804,敏感型
U00008326,0.17263131007649746,敏感型
U00026242,0.17202620009950792,敏感型
U00019741,0.17201648840913847,敏感型
U00031733,0.17196604307004537,敏感型
U00033490,0.1718267265476502,敏感型
U00022567,0.1717852955843408,敏感型
U00079281,0.1715877277944674,敏感型
U00033713,0.1715554475605265,敏感型
U00095909,0.1713396127270847,敏感型
U00081127,0.1713396127270847,敏感型
U00079364,0.1712918800486885,敏感型
U00036512,0.1710709804525936,敏感型
U00083639,0.17101789809614015,敏感型
U00048325,0.1704017642802242,敏感型
U00027347,0.1703592530596753,敏感型
U00000542,0.17008165406995668,敏感型
U00011000,0.16984814739505544,敏感型
U00052068,0.16979485049820237,敏感型
U00072296,0.1697927288915082,敏感型
U00092455,0.16972765298800163,敏感型
U00037633,0.1696759025465579,敏感型
U00031175,0.1695375593683774,敏感型
U00090809,0.1694430100639724,敏感型
U00073912,0.16933625062415952,敏感型
U00056220,0.16931158164204957,敏感型
U00008249,0.1692423156243202,敏感型
U00026871,0.1691368242356685,敏感型
U00098923,0.168974276682489,敏感型
U00010572,0.16889943555332942,敏感型
U00002652,0.16833676375846368,敏感型
U00072192,0.16830604553427425,敏感型
U00090768,0.16794707241918344,敏感型
U00033599,0.16773187903568182,敏感型
U00016865,0.16771496485614956,敏感型
U00037920,0.1673688268928471,敏感型
U00051210,0.16713765074955012,敏感型
U00043480,0.16697264993119043,敏感型
U00020120,0.16665421842343453,敏感型
U00059322,0.16657383982696605,敏感型
U00022145,0.16649817146878465,敏感型
U00065102,0.16646591820579304,敏感型
U00004349,0.16631804350015272,敏感型
U00062304,0.16617402472225656,敏感型
U00024748,0.16606953199017288,敏感型
U00090223,0.16599201285590698,敏感型
U00003687,0.1659207514752599,敏感型
U00069737,0.1658566222847498,敏感型
U00022236,0.16584657441305223,敏感型
U00042657,0.16571312075606098,敏感型
U00042448,0.16565430071316017,敏感型
U00047442,0.1654606255741547,敏感型
U00027869,0.1654606255741547,敏感型
U00052812,0.16536128015095353,敏感型
U00084508,0.16527343483903517,敏感型
U00016578,0.16499302024014972,敏感型
U00053852,0.16488541055584321,敏感型
U00001443,0.16481624125228883,敏感型
U00036864,0.16471490745157918,敏感型
U00085980,0.16470323211840598,敏感型
U00039193,0.16468372277564652,敏感型
U00080622,0.16462242212373712,敏感型
U00020373,0.16459518036948978,敏感型
U00016383,0.164592013530738,敏感型
U00090207,0.1645569590338628,敏感型
U00077499,0.16416444689757898,敏感型
U00016881,0.163854355060993,敏感型
U00088375,0.16384502683204283,敏感型
U00092430,0.16364124826571053,敏感型
U00040443,0.16362786275244134,敏感型
U00050653,0.16360294020979804,敏感型
U00076879,0.16359652692759152,敏感型
U00075406,0.1635774039463604,敏感型
U00077219,0.16345444801186104,敏感型
U00048774,0.1633534836779516,敏感型
U00014170,0.1632596225726936,敏感型
U00091698,0.16325504310261102,敏感型
U00069785,0.16321014913947873,敏感型
U00088460,0.16317984422038745,敏感型
U00039723,0.16314574100660328,敏感型
U00041974,0.16313000924277848,敏感型
U00028969,0.16285913208444702,敏感型
U00037814,0.1628574811869387,敏感型
U00063896,0.16281645480089485,敏感型
U00033076,0.1627278098789547,敏感型
U00055273,0.16268911836147126,敏感型
U00057035,0.16267882938627043,敏感型
U00063087,0.16260090215502732,敏感型
U00023112,0.16258741367356683,敏感型
U00075396,0.16255990067208498,敏感型
U00054403,0.16218077004727877,敏感型
U00040157,0.16210950480224912,敏感型
U00052933,0.16208493447365085,敏感型
U00016156,0.1620690626083151,敏感型
U00021334,0.16202882421988507,敏感型
U00035741,0.16199148933425145,敏感型
U00030651,0.16196616277254366,敏感型
U00037606,0.16195330262695684,敏感型
U00040991,0.1619520266515455,敏感型
U00093304,0.1619444371271484,敏感型
U00044676,0.16193034004715756,敏感型
U00045402,0.1618835502143104,敏感型
U00021272,0.16175524177805378,敏感型
U00043574,0.16167251171999764,敏感型
U00042731,0.1615824061150351,敏感型
U00080018,0.16141727169929965,敏感型
U00078862,0.16141059160568227,敏感型
U00042590,0.16135922721407192,敏感型
U00056796,0.1613590705780184,敏感型
U00093222,0.16133632102630657,敏感型
U00006987,0.1613323672518595,敏感型
U00035360,0.16132343063224508,敏感型
U00025787,0.16131270604854064,敏感型
U00078640,0.16130960425763285,敏感型
U00039880,0.1612574122043276,敏感型
U00037530,0.1612141458012803,敏感型
U00015854,0.16102609242243715,敏感型
U00036988,0.16100748321561226,敏感型
U00035289,0.16098558116889577,敏感型
U00009447,0.16095448278789082,敏感型
U00098653,0.16091551139218707,敏感型
U00004184,0.1609100997806197,敏感型
U00043287,0.1608386449183709,敏感型
U00019137,0.1608145371250575,敏感型
U00083663,0.16075168250087762,敏感型
U00044076,0.16073484352255785,敏感型
U00073190,0.1607197028430738,敏感型
U00044850,0.160700516831432,敏感型
U00072612,0.16068240029442116,敏感型
U00028426,0.16068240029442116,敏感型
U00043646,0.16058826715722452,敏感型
U00096456,0.1605778623411726,敏感型
U00099350,0.16057300234258648,敏感型
U00047157,0.16057062982112197,敏感型
U00061223,0.16054439920315683,敏感型
U00020099,0.16043596682329536,敏感型
U00007145,0.16042369506268545,敏感型
U00054981,0.16040144548562735,敏感型
U00099415,0.16036395453173452,敏感型
U00091489,0.16028379277008697,敏感型
U00080575,0.16020257109391772,敏感型
U00018895,0.16014186869258135,敏感型
U00099568,0.16013687664301918,敏感型
U00035556,0.16005330677962049,敏感型
U00025017,0.16003467577404656,敏感型
U00016278,0.1600270525943011,敏感型
U00078568,0.15999638600687555,敏感型
U00044549,0.15996604914113377,敏感型
U00099518,0.15988693433300183,敏感型
U00044879,0.15988469870936273,敏感型
U00034225,0.15983936788174002,敏感型
U00044052,0.1598385598528747,敏感型
U00046463,0.15981931602165528,敏感型
U00027628,0.15979441532617755,敏感型
U00063798,0.159744956140898,敏感型
U00053916,0.15972122239143582,敏感型
U00054141,0.15965730526451738,敏感型
U00086489,0.15954981040927324,敏感型
U00031902,0.1595456340384488,敏感型
U00074239,0.15952209812386065,敏感型
U00025960,0.15939536234748286,敏感型
U00097902,0.15939536234748286,敏感型
U00064218,0.1593923996973825,敏感型
U00004012,0.15936427850296153,敏感型
U00029132,0.15934306942916243,敏感型
U00090242,0.1593296512723204,敏感型
U00003986,0.1592970197973192,敏感型
U00061839,0.15929675382859754,敏感型
U00013756,0.15924142847363554,敏感型
U00029821,0.15923966482295354,敏感型
U00065806,0.1591347342193135,敏感型
U00098775,0.15912197081848745,敏感型
U00005827,0.15907670814429897,敏感型
U00055979,0.1590492624916166,敏感型
U00054764,0.15899359078298225,敏感型
U00046604,0.15894934384570342,敏感型
U00029589,0.15890722082741232,敏感型
U00071564,0.1588482055156425,敏感型
U00024974,0.1587635224537715,敏感型
U00032280,0.15867995213898173,敏感型
U00031951,0.15864644406567874,敏感型
U00036264,0.15861182120540362,敏感型
U00032867,0.15846912849274197,敏感型
U00031561,0.1584556280864815,敏感型
U00041034,0.1584533360152488,敏感型
U00008942,0.15840794084421506,敏感型
U00010090,0.15832330410418727,敏感型
U00087011,0.15830291683617997,敏感型
U00048195,0.15829732051021556,敏感型
U00012837,0.15829732051021556,敏感型
U00036416,0.15827972692183034,敏感型
U00099477,0.15822120259637384,敏感型
U00013745,0.15821600085189047,敏感型
U00011484,0.15814689671689375,敏感型
U00033113,0.1581160691478094,敏感型
U00093849,0.15810780525792523,敏感型
U00080757,0.1580490411727432,敏感型
U00043731,0.15803058717138174,敏感型
