用户ID,年龄,历史购买次数,是否会员,ITE,客户类型
U00070117,37,1.0,0,0.06031415576617888,自然转化型
U00007678,18,3.0,1,0.10092273385205969,自然转化型
U00094301,40,3.0,0,0.09785838715545098,自然转化型
U00088301,18,1.0,0,0.05796253709704027,自然转化型
U00065939,38,2.0,1,0.05092170527554049,自然转化型
U00024484,28,1.0,1,0.07229446187571886,自然转化型
U00055952,42,3.0,0,0.11336453188077567,敏感型
U00043312,30,1.0,0,0.10713337123564867,敏感型
U00004536,26,0.0,1,0.05554792262227942,自然转化型
U00039717,35,5.0,1,0.08870948004246515,自然转化型
U00020014,23,4.0,1,0.10800984010809012,敏感型
U00081916,24,0.0,1,0.036434787900186866,自然转化型
U00054200,28,5.0,0,0.1489471087034503,敏感型
U00029610,24,4.0,1,0.1413662641564422,敏感型
U00055262,35,1.0,1,0.07429772127311271,自然转化型
U00022108,19,3.0,0,0.10287566515403734,敏感型
U00024550,33,3.0,0,0.110418156426971,敏感型
U00017629,37,0.0,0,0.04697763496736834,自然转化型
U00097016,32,1.0,0,0.0893747584593037,自然转化型
U00066424,38,4.0,1,0.09731524474617964,自然转化型
U00055600,28,2.0,1,0.0905958565149921,自然转化型
U00090858,27,1.0,0,0.08797526152384308,自然转化型
U00003624,32,4.0,0,0.14225256540629588,敏感型
U00051030,25,3.0,1,0.11816703290155278,敏感型
U00065763,18,2.0,0,0.058416307526092864,自然转化型
U00061158,29,1.0,1,0.08638388344559686,自然转化型
U00051210,26,4.0,0,0.16713765074955012,敏感型
U00063228,25,3.0,1,0.10174441601666329,自然转化型
U00019552,29,3.0,1,0.13036133516945297,敏感型
U00044714,31,1.0,1,0.09313642293658242,自然转化型
U00089665,24,3.0,1,0.10311356203628358,敏感型
U00029676,35,4.0,0,0.12121184211212227,敏感型
U00032539,40,2.0,1,0.04893614868801463,自然转化型
U00022961,37,1.0,0,0.0736421284625482,自然转化型
U00047457,36,4.0,0,0.09965273119117463,自然转化型
U00091643,38,1.0,1,0.03987857288718216,自然转化型
U00098025,24,4.0,1,0.11756951787194353,敏感型
U00051320,26,2.0,1,0.08826062846808155,自然转化型
U00080425,25,2.0,1,0.06949100284755078,自然转化型
U00039891,43,1.0,0,0.08605512236842164,自然转化型
U00064319,27,2.0,1,0.07321256687605524,自然转化型
U00075364,35,7.0,0,0.1120044012354447,敏感型
U00079635,26,0.0,0,0.06492270727865987,自然转化型
U00036489,38,4.0,0,0.10634211033044899,敏感型
U00010821,24,2.0,0,0.06610662767592557,自然转化型
U00039351,42,3.0,1,0.0922714673263923,自然转化型
U00085729,18,1.0,1,0.0708032739100799,自然转化型
U00045189,43,1.0,1,0.05047472790180538,自然转化型
U00003127,18,8.0,0,0.11528227196715662,敏感型
