商品,云朵防晒霜,双抗水乳套装,神经酰胺涂抹面膜,双抗精华3.0,红宝石精华3.0,双抗精华水,至简密护安瓶精华液,净颜洗面奶,源力面霜2.0,红宝石抗皱面霜3.0,红宝石活肤乳2.0,水动力洁面乳,水动力氨基酸洁面乳,赋能鲜颜淡纹紧致活肤水,双抗小夜灯眼霜,红宝石冰陀螺眼霜
云朵防晒霜,1.00,0.12,0.18,0.10,0.08,0.11,0.22,0.25,0.20,0.07,0.09,0.28,0.26,0.15,0.13,0.06
双抗水乳套装,0.12,1.00,0.42,0.92,0.55,0.88,0.45,0.30,0.48,0.52,0.49,0.25,0.23,0.58,0.78,0.47
神经酰胺涂抹面膜,0.18,0.42,1.00,0.45,0.38,0.40,0.82,0.35,0.90,0.35,0.33,0.28,0.26,0.42,0.43,0.32
双抗精华3.0,0.10,0.92,0.45,1.00,0.58,0.94,0.47,0.28,0.50,0.55,0.52,0.22,0.20,0.60,0.82,0.50
红宝石精华3.0,0.08,0.55,0.38,0.58,1.00,0.52,0.40,0.25,0.42,0.93,0.88,0.18,0.16,0.75,0.53,0.89
双抗精华水,0.11,0.88,0.40,0.94,0.52,1.00,0.43,0.27,0.46,0.50,0.48,0.21,0.19,0.57,0.79,0.48
至简密护安瓶精华液,0.22,0.45,0.82,0.47,0.40,0.43,1.00,0.33,0.85,0.37,0.35,0.26,0.24,0.45,0.46,0.34
净颜洗面奶,0.25,0.30,0.35,0.28,0.25,0.27,0.33,1.00,0.32,0.23,0.21,0.78,0.85,0.29,0.27,0.20
源力面霜2.0,0.20,0.48,0.90,0.50,0.42,0.46,0.85,0.32,1.00,0.40,0.38,0.27,0.25,0.47,0.49,0.36
红宝石抗皱面霜3.0,0.07,0.52,0.35,0.55,0.93,0.50,0.37,0.23,0.40,1.00,0.91,0.17,0.15,0.72,0.50,0.92
红宝石活肤乳2.0,0.09,0.49,0.33,0.52,0.88,0.48,0.35,0.21,0.38,0.91,1.00,0.16,0.14,0.69,0.48,0.88
水动力洁面乳,0.28,0.25,0.28,0.22,0.18,0.21,0.26,0.78,0.27,0.17,0.16,1.00,0.92,0.24,0.22,0.15
水动力氨基酸洁面乳,0.26,0.23,0.26,0.20,0.16,0.19,0.24,0.85,0.25,0.15,0.14,0.92,1.00,0.22,0.20,0.13
赋能鲜颜淡纹紧致活肤水,0.15,0.58,0.42,0.60,0.75,0.57,0.45,0.29,0.47,0.72,0.69,0.24,0.22,1.00,0.55,0.70
双抗小夜灯眼霜,0.13,0.78,0.43,0.82,0.53,0.79,0.46,0.27,0.49,0.50,0.48,0.22,0.20,0.55,1.00,0.52
红宝石冰陀螺眼霜,0.06,0.47,0.32,0.50,0.89,0.48,0.34,0.20,0.36,0.92,0.88,0.15,0.13,0.70,0.52,1.00
