用户ID,肤质,R值,F值,M值,R评分,F评分,M评分,综合得分,用户分类
U00000001,油性/混油,32,2,335.28999999999996,4,3,2,2.8999999999999995,高价值沉睡用户
U00000002,敏感肌,278,2,1046.0,1,3,4,2.8,高价值沉睡用户
U00000003,油性/混油,34,3,1791.27,4,4,5,4.4,核心价值用户
U00000004,中性,132,5,4747.52,2,5,5,4.1,核心价值用户
U00000005,敏感肌,36,2,1369.71,4,3,4,3.6999999999999997,潜力发展用户
U00000006,干性/混干,6,5,3566.0,5,5,5,5.0,核心价值用户
U00000007,油性/混油,87,2,1206.0,3,3,4,3.4,潜力发展用户
U00000008,敏感肌,49,3,1497.0,4,4,4,4.0,核心价值用户
U00000009,干性/混干,225,1,259.0,1,2,2,1.7,低价值/流失用户
U00000010,敏感肌,132,4,2816.0,2,4,5,3.8,潜力发展用户
U00000011,油性/混油,286,1,1806.0,1,2,5,2.9,高价值沉睡用户
U00000012,油性/混油,157,1,986.6400000000001,2,2,4,2.8,高价值沉睡用户
U00000013,干性/混干,21,4,3013.14,5,4,5,4.7,核心价值用户
U00000014,中性,129,1,509.0,2,2,3,2.4000000000000004,高价值沉睡用户
U00000015,油性/混油,15,3,1515.0,5,4,5,4.7,核心价值用户
U00000016,中性,138,2,1915.0,2,3,5,3.5,潜力发展用户
U00000017,油性/混油,45,5,4197.0,4,5,5,4.7,核心价值用户
U00000018,油性/混油,69,1,518.0,3,2,3,2.7,高价值沉睡用户
U00000019,敏感肌,84,3,1124.0,3,4,4,3.6999999999999997,潜力发展用户
U00000020,油性/混油,20,4,3012.0,5,4,5,4.7,核心价值用户
U00000021,中性,322,1,1134.28,1,2,4,2.5,高价值沉睡用户
U00000022,敏感肌,288,1,269.0,1,2,2,1.7,低价值/流失用户
U00000023,油性/混油,129,4,1787.8899999999999,2,4,5,3.8,潜力发展用户
U00000025,敏感肌,102,1,618.0,2,2,3,2.4000000000000004,高价值沉睡用户
U00000026,敏感肌,163,1,907.0,2,2,4,2.8,高价值沉睡用户
U00000027,油性/混油,55,3,2104.0,4,4,5,4.4,核心价值用户
U00000030,中性,98,2,1395.0,2,3,4,3.1,潜力发展用户
U00000032,油性/混油,134,3,925.74,2,4,4,3.4,潜力发展用户
U00000033,干性/混干,137,2,1912.0,2,3,5,3.5,潜力发展用户
U00000034,油性/混油,295,1,309.0,1,2,2,1.7,低价值/流失用户
U00000035,敏感肌,221,3,2363.0,1,4,5,3.5,潜力发展用户
U00000036,油性/混油,72,3,765.0,3,4,3,3.3,潜力发展用户
U00000037,中性,60,4,1829.75,4,4,5,4.4,核心价值用户
U00000038,敏感肌,139,2,881.25,2,3,4,3.1,潜力发展用户
U00000039,油性/混油,336,1,965.0,1,2,4,2.5,高价值沉睡用户
U00000040,油性/混油,53,3,1919.25,4,4,5,4.4,核心价值用户
U00000041,油性/混油,149,6,4799.0,2,5,5,4.1,核心价值用户
U00000042,油性/混油,0,3,1201.03,5,4,4,4.300000000000001,核心价值用户
U00000043,敏感肌,44,4,2788.45,4,4,5,4.4,核心价值用户
U00000044,敏感肌,37,2,1135.0,4,3,4,3.6999999999999997,潜力发展用户
U00000045,干性/混干,21,4,4312.22,5,4,5,4.7,核心价值用户
U00000046,敏感肌,27,3,1784.0,5,4,5,4.7,核心价值用户
U00000047,敏感肌,174,2,1478.23,2,3,4,3.1,潜力发展用户
U00000048,干性/混干,141,2,1154.1,2,3,4,3.1,潜力发展用户
U00000049,干性/混干,39,2,1625.0,4,3,5,4.1,核心价值用户
U00000050,敏感肌,208,2,3920.35,1,3,5,3.2,潜力发展用户
U00000051,敏感肌,10,4,2524.0,5,4,5,4.7,核心价值用户
U00000052,干性/混干,131,4,2574.2,2,4,5,3.8,潜力发展用户
U00000053,油性/混油,131,3,1512.0,2,4,5,3.8,潜力发展用户
U00000054,敏感肌,90,3,826.3399999999999,3,4,4,3.6999999999999997,潜力发展用户
U00000055,油性/混油,12,4,2693.0,5,4,5,4.7,核心价值用户
U00000056,中性,41,4,1384.0,4,4,4,4.0,核心价值用户
U00000057,中性,84,3,2721.5,3,4,5,4.1,核心价值用户
U00000058,油性/混油,32,2,617.0,4,3,3,3.3,潜力发展用户
U00000059,油性/混油,7,4,2849.0,5,4,5,4.7,核心价值用户
U00000060,中性,50,4,4097.85,4,4,5,4.4,核心价值用户
U00000061,中性,127,3,3138.21,2,4,5,3.8,潜力发展用户
U00000062,油性/混油,79,2,796.0,3,3,3,3.0,潜力发展用户
U00000063,干性/混干,3,3,2102.21,5,4,5,4.7,核心价值用户
U00000064,敏感肌,3,3,2203.0,5,4,5,4.7,核心价值用户
U00000065,油性/混油,9,4,3011.97,5,4,5,4.7,核心价值用户
U00000066,干性/混干,251,1,289.0,1,2,2,1.7,低价值/流失用户
U00000067,中性,277,1,648.0,1,2,3,2.1,高价值沉睡用户
U00000068,敏感肌,45,1,363.68,4,2,2,2.5999999999999996,高价值沉睡用户
U00000069,油性/混油,131,3,1081.0,2,4,4,3.4,潜力发展用户
U00000070,油性/混油,99,2,630.19,2,3,3,2.7,高价值沉睡用户
U00000071,中性,201,1,739.1600000000001,1,2,3,2.1,高价值沉睡用户
U00000072,敏感肌,42,4,1902.0,4,4,5,4.4,核心价值用户
U00000073,油性/混油,43,5,3459.7799999999997,4,5,5,4.7,核心价值用户
U00000074,敏感肌,17,3,1828.47,5,4,5,4.7,核心价值用户
U00000075,油性/混油,13,4,4302.78,5,4,5,4.7,核心价值用户
U00000076,敏感肌,21,1,259.0,5,2,2,2.9000000000000004,高价值沉睡用户
U00000077,干性/混干,26,2,963.41,5,3,4,4.0,核心价值用户
U00000078,敏感肌,43,1,1377.0,4,2,4,3.4,潜力发展用户
U00000079,敏感肌,71,3,1808.46,3,4,5,4.1,核心价值用户
U00000080,油性/混油,251,2,238.0,1,3,2,2.0,高价值沉睡用户
U00000081,敏感肌,31,3,2979.0,4,4,5,4.4,核心价值用户
U00000082,干性/混干,285,2,2132.0,1,3,5,3.2,潜力发展用户
U00000083,敏感肌,283,1,987.0,1,2,4,2.5,高价值沉睡用户
U00000084,敏感肌,143,2,2085.45,2,3,5,3.5,潜力发展用户
U00000085,干性/混干,230,2,866.0,1,3,4,2.8,高价值沉睡用户
