用户ID,性别,年龄,肤质,是否会员,常用省份
U00000001,女,35,油性/混油,是,浙江
U00000002,男,30,敏感肌,否,广东
U00000003,女,37,油性/混油,是,北京
U00000004,女,44,中性,是,北京
U00000005,女,30,敏感肌,是,广东
U00000006,男,30,干性/混干,否,广东
U00000007,男,44,油性/混油,否,广东
U00000008,男,38,敏感肌,否,山东
U00000009,女,28,干性/混干,否,北京
U00000010,男,36,敏感肌,否,上海
U00000011,男,28,油性/混油,是,浙江
U00000012,女,28,油性/混油,是,浙江
U00000013,女,33,干性/混干,是,浙江
U00000014,女,18,中性,否,上海
U00000015,女,18,油性/混油,否,江苏
U00000016,男,27,中性,否,山东
U00000017,男,23,油性/混油,否,广东
U00000018,女,34,油性/混油,是,湖南
U00000019,男,24,敏感肌,否,江苏
U00000020,男,20,油性/混油,否,浙江
U00000021,女,43,中性,是,湖北
U00000022,女,30,敏感肌,是,北京
U00000023,女,32,油性/混油,是,上海
U00000024,男,20,油性/混油,否,江苏
U00000025,男,27,敏感肌,否,河南
U00000026,女,32,敏感肌,否,北京
U00000027,女,22,油性/混油,否,江苏
U00000028,女,35,敏感肌,否,浙江
U00000029,女,27,敏感肌,是,河南
U00000030,女,29,中性,否,广东
U00000031,男,27,敏感肌,否,北京
U00000032,女,46,油性/混油,是,湖北
U00000033,男,31,干性/混干,否,广东
U00000034,男,23,油性/混油,否,北京
U00000035,女,38,敏感肌,否,广东
U00000036,女,22,油性/混油,否,河南
U00000037,女,33,中性,是,山东
U00000038,女,18,敏感肌,是,上海
U00000039,女,21,油性/混油,否,浙江
U00000040,女,33,油性/混油,是,浙江
U00000041,女,37,油性/混油,否,湖北
U00000042,男,33,油性/混油,是,山东
U00000043,女,31,敏感肌,是,上海
U00000044,女,29,敏感肌,否,浙江
U00000045,女,20,干性/混干,是,北京
U00000046,男,26,敏感肌,否,广东
U00000047,女,28,敏感肌,是,浙江
U00000048,女,40,干性/混干,是,浙江
U00000049,女,34,干性/混干,否,河南
U00000050,女,18,敏感肌,是,河南
U00000051,男,34,敏感肌,否,广东
U00000052,女,28,干性/混干,是,广东
U00000053,女,26,油性/混油,否,四川
U00000054,女,36,敏感肌,是,湖南
U00000055,女,40,油性/混油,否,浙江
U00000056,男,39,中性,否,四川
U00000057,女,25,中性,是,河南
U00000058,女,29,油性/混油,否,浙江
U00000059,女,34,油性/混油,否,广东
U00000060,男,39,中性,是,上海
U00000061,女,28,中性,是,湖北
U00000062,女,30,油性/混油,否,江苏
U00000063,女,23,干性/混干,是,四川
U00000064,女,22,敏感肌,否,湖南
U00000065,女,38,油性/混油,是,湖北
U00000066,男,42,干性/混干,否,广东
U00000067,男,31,中性,否,湖南
U00000068,女,40,敏感肌,是,浙江
U00000069,女,34,油性/混油,否,广东
U00000070,女,26,油性/混油,是,上海
U00000071,男,34,中性,是,浙江
U00000072,女,44,敏感肌,否,广东
U00000073,女,31,油性/混油,是,四川
U00000074,女,44,敏感肌,是,北京
U00000075,女,18,油性/混油,是,河南
U00000076,男,38,敏感肌,否,上海
U00000077,女,32,干性/混干,是,湖北
U00000078,男,29,敏感肌,否,浙江
U00000079,女,32,敏感肌,是,河南
U00000080,女,18,油性/混油,否,湖北
U00000081,男,30,敏感肌,否,河南
U00000082,女,34,干性/混干,否,湖北
U00000083,男,43,敏感肌,否,浙江
U00000084,男,27,敏感肌,是,河南
