用户ID,性别,年龄,肤质,会员,RFM分类,聚类
U00000001,女,33,,是,潜力发展用户,
U00000002,女,32,,是,潜力发展用户,
U00000003,女,44,,否,高价值沉睡用户,
U00000004,女,33,,否,核心价值用户,
U00000005,男,45,,是,高价值沉睡用户,
U00000006,男,41,,否,核心价值用户,
U00000007,女,19,,是,潜力发展用户,
U00000008,女,23,,是,低价值/流失用户,
U00000009,女,65,,是,核心价值用户,
U00000010,女,22,,否,核心价值用户,
U00000011,男,38,,否,潜力发展用户,
U00000012,女,19,,是,核心价值用户,
U00000013,女,54,,是,高价值沉睡用户,
U00000014,男,52,,否,高价值沉睡用户,
U00000015,女,27,,是,核心价值用户,
U00000016,女,62,,是,潜力发展用户,
U00000017,女,57,,是,核心价值用户,
U00000018,女,40,,否,核心价值用户,
U00000019,女,63,,否,高价值沉睡用户,
U00000020,女,35,,是,核心价值用户,
U00000021,女,25,,否,核心价值用户,
U00000022,女,59,,是,核心价值用户,
U00000023,女,48,,是,核心价值用户,
U00000024,男,33,,否,潜力发展用户,
U00000025,男,65,,否,高价值沉睡用户,
U00000026,男,41,,是,低价值/流失用户,
U00000027,女,59,,否,核心价值用户,
U00000028,女,43,,否,高价值沉睡用户,
U00000029,男,19,,是,高价值沉睡用户,
U00000030,女,52,,否,潜力发展用户,
U00000031,女,65,,否,核心价值用户,
U00000032,女,29,,否,高价值沉睡用户,
U00000033,男,54,,是,潜力发展用户,
U00000034,男,50,,否,低价值/流失用户,
U00000035,男,21,,是,核心价值用户,
U00000036,女,49,,是,核心价值用户,
U00000037,女,19,,否,潜力发展用户,
U00000038,女,65,,是,高价值沉睡用户,
U00000039,女,44,,是,核心价值用户,
U00000040,男,24,,否,低价值/流失用户,
U00000041,男,20,,否,核心价值用户,
U00000042,男,46,,否,核心价值用户,
U00000043,女,44,,是,潜力发展用户,
U00000044,男,54,,是,低价值/流失用户,
U00000045,男,60,,否,高价值沉睡用户,
U00000046,女,64,,否,潜力发展用户,
U00000047,女,47,,否,核心价值用户,
U00000048,女,35,,否,潜力发展用户,
U00000049,女,20,,否,潜力发展用户,
U00000050,女,65,,是,潜力发展用户,
U00000051,女,54,,否,核心价值用户,
U00000052,女,41,,是,低价值/流失用户,
U00000053,女,43,,是,低价值/流失用户,
U00000054,女,52,,是,核心价值用户,
U00000055,女,44,,否,核心价值用户,
U00000056,女,61,,否,低价值/流失用户,
U00000057,男,54,,否,高价值沉睡用户,
U00000058,女,61,,否,潜力发展用户,
U00000059,女,60,,否,高价值沉睡用户,
U00000060,男,41,,否,高价值沉睡用户,
U00000061,女,56,,是,高价值沉睡用户,
U00000062,女,53,,是,高价值沉睡用户,
U00000063,男,65,,否,高价值沉睡用户,
U00000064,女,38,,否,潜力发展用户,
U00000065,女,50,,是,核心价值用户,
U00000066,女,54,,否,潜力发展用户,
U00000067,女,65,,是,高价值沉睡用户,
U00000068,男,28,,否,高价值沉睡用户,
U00000069,男,63,,否,核心价值用户,
U00000070,女,47,,否,核心价值用户,
U00000071,女,39,,是,核心价值用户,
U00000072,女,33,,是,潜力发展用户,
U00000073,女,26,,否,潜力发展用户,
U00000074,女,43,,是,高价值沉睡用户,
U00000075,男,64,,是,核心价值用户,
U00000076,男,21,,是,高价值沉睡用户,
U00000077,女,22,,否,核心价值用户,
U00000078,女,20,,否,核心价值用户,
U00000079,女,33,,否,高价值沉睡用户,
U00000080,女,39,,否,潜力发展用户,
U00000081,女,59,,是,潜力发展用户,
U00000082,女,63,,是,核心价值用户,
U00000083,男,35,,是,核心价值用户,
U00000084,女,55,,是,高价值沉睡用户,
U00000085,男,39,,是,低价值/流失用户,
U00000086,女,54,,否,核心价值用户,
U00000087,男,49,,否,核心价值用户,
U00000088,女,44,,是,潜力发展用户,
U00000089,男,20,,是,低价值/流失用户,
U00000090,女,54,,是,潜力发展用户,
U00000091,女,59,,否,核心价值用户,
U00000092,女,18,,否,低价值/流失用户,
U00000093,女,51,,是,高价值沉睡用户,
U00000094,女,59,,是,核心价值用户,
U00000095,女,50,,否,核心价值用户,
U00000096,女,35,,否,高价值沉睡用户,
U00000097,男,52,,是,核心价值用户,
U00000098,女,46,,否,核心价值用户,
U00000099,女,49,,否,高价值沉睡用户,
U00000100,女,52,,否,高价值沉睡用户,
U00000101,男,40,,否,高价值沉睡用户,
U00000102,女,21,,否,高价值沉睡用户,
U00000103,男,38,,是,潜力发展用户,
U00000104,男,53,,是,潜力发展用户,
U00000105,女,25,,是,核心价值用户,
U00000106,男,45,,否,潜力发展用户,
U00000107,男,28,,是,核心价值用户,
U00000108,女,44,,否,潜力发展用户,
U00000109,女,34,,否,低价值/流失用户,
U00000110,女,40,,是,核心价值用户,
U00000111,男,23,,否,高价值沉睡用户,
U00000112,男,59,,否,低价值/流失用户,
U00000113,男,23,,否,潜力发展用户,
U00000114,男,32,,是,核心价值用户,
U00000115,女,63,,否,高价值沉睡用户,
U00000116,男,20,,否,潜力发展用户,
U00000117,女,36,,是,潜力发展用户,
U00000118,女,23,,是,核心价值用户,
U00000119,女,60,,是,核心价值用户,
U00000120,女,56,,否,核心价值用户,
U00000121,女,51,,否,高价值沉睡用户,
U00000122,女,27,,否,核心价值用户,
U00000123,女,30,,否,低价值/流失用户,
U00000124,女,27,,是,潜力发展用户,
U00000125,女,44,,否,低价值/流失用户,
U00000126,男,45,,否,潜力发展用户,
U00000127,女,22,,否,潜力发展用户,
U00000128,女,19,,否,高价值沉睡用户,
U00000129,男,35,,是,高价值沉睡用户,
U00000130,女,53,,是,潜力发展用户,
U00000131,女,64,,否,高价值沉睡用户,
U00000132,女,32,,是,潜力发展用户,
U00000133,女,41,,是,核心价值用户,
U00000134,女,44,,否,潜力发展用户,
U00000135,女,58,,否,核心价值用户,
U00000136,女,58,,是,高价值沉睡用户,
U00000137,女,51,,是,高价值沉睡用户,
U00000138,男,38,,否,潜力发展用户,
U00000139,女,52,,是,低价值/流失用户,
U00000140,男,63,,否,高价值沉睡用户,
U00000141,女,36,,否,高价值沉睡用户,
U00000142,男,58,,否,潜力发展用户,
U00000143,女,61,,否,低价值/流失用户,
U00000144,女,51,,是,低价值/流失用户,
U00000145,男,38,,是,核心价值用户,
U00000146,男,49,,否,潜力发展用户,
U00000147,男,49,,否,核心价值用户,
U00000148,女,40,,否,潜力发展用户,
U00000149,女,40,,否,核心价值用户,
U00000150,女,24,,否,核心价值用户,
U00000151,女,57,,否,潜力发展用户,
U00000152,女,64,,是,潜力发展用户,
U00000153,女,38,,是,潜力发展用户,
U00000154,女,44,,否,高价值沉睡用户,
U00000155,女,20,,否,核心价值用户,
U00000156,女,24,,是,核心价值用户,
U00000157,男,59,,否,高价值沉睡用户,
